"Table 2: Life expectancy and healthy life expectancy in Scottish council areas, 2015-2017",,,,,,,,,,,,
,,,,,,,,,,,,
Area code,Council area,Sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),"Proportion of Life Spent in ""Good"" Health (%)",,
S12000027,Shetland Islands,female,75 to 79,12.04,11.24,12.84,6.28,2.88,9.67,52.14,,
S12000027,Shetland Islands,female,80 to 84,8.84,8.09,9.59,4.32,1.14,7.50,48.83,,
S12000027,Shetland Islands,female,85 to 89,6.34,5.60,7.08,2.88,0.18,5.58,45.42,,
S12000027,Shetland Islands,female,90+,4.20,3.33,5.08,1.78,-0.66,4.22,42.36,,
S12000028,South Ayrshire,male,less than 1,77.18,76.48,77.89,62.13,60.48,63.78,80.50,,
S12000028,South Ayrshire,male,1 to 4,76.39,75.71,77.06,61.35,59.70,63.01,80.32,,
S12000028,South Ayrshire,male,5 to 9,72.43,71.76,73.10,57.61,55.98,59.25,79.54,,
S12000028,South Ayrshire,male,10 to 14,67.43,66.76,68.10,52.86,51.26,54.47,78.39,,
S12000028,South Ayrshire,male,15 to 19,62.47,61.80,63.14,48.13,46.56,49.71,77.05,,
S12000028,South Ayrshire,male,20 to 24,57.50,56.84,58.17,43.41,41.87,44.96,75.50,,
S12000028,South Ayrshire,male,25 to 29,52.77,52.13,53.42,38.91,37.40,40.41,73.73,,
S12000028,South Ayrshire,male,30 to 34,48.11,47.49,48.72,34.51,33.05,35.98,71.74,,
S12000028,South Ayrshire,male,35 to 39,43.74,43.17,44.30,30.41,28.99,31.83,69.53,,
S12000028,South Ayrshire,male,40 to 44,39.31,38.79,39.83,26.39,25.03,27.74,67.12,,
S12000028,South Ayrshire,male,45 to 49,35.02,34.55,35.49,22.57,21.26,23.88,64.44,,
S12000028,South Ayrshire,male,50 to 54,30.73,30.29,31.17,18.90,17.64,20.17,61.52,,
S12000028,South Ayrshire,male,55 to 59,26.36,25.95,26.78,15.38,14.18,16.59,58.35,,
