"Table 2: Life expectancy and healthy life expectancy in Scottish council areas, 2015-2017",,,,,,,,,,,,
,,,,,,,,,,,,
Area code,Council area,Sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),"Proportion of Life Spent in ""Good"" Health (%)",,
S12000038,Renfrewshire,male,15 to 19,61.41,60.93,61.89,46.48,44.69,48.27,75.69,,
S12000038,Renfrewshire,male,20 to 24,56.51,56.03,56.98,41.86,40.12,43.61,74.09,,
S12000038,Renfrewshire,male,25 to 29,51.67,51.20,52.13,37.41,35.70,39.12,72.40,,
S12000038,Renfrewshire,male,30 to 34,46.94,46.49,47.39,33.18,31.63,34.74,70.69,,
S12000038,Renfrewshire,male,35 to 39,42.28,41.85,42.72,29.11,27.61,30.61,68.84,,
S12000038,Renfrewshire,male,40 to 44,37.69,37.28,38.10,25.22,23.77,26.67,66.91,,
S12000038,Renfrewshire,male,45 to 49,33.27,32.88,33.65,21.59,20.22,22.96,64.90,,
S12000038,Renfrewshire,male,50 to 54,28.89,28.52,29.26,18.11,16.77,19.45,62.69,,
S12000038,Renfrewshire,male,55 to 59,24.60,24.25,24.95,14.86,13.57,16.16,60.42,,
S12000038,Renfrewshire,male,60 to 64,20.46,20.12,20.80,11.86,10.62,13.10,57.97,,
S12000038,Renfrewshire,male,65 to 69,16.63,16.31,16.94,9.22,8.04,10.40,55.48,,
S12000038,Renfrewshire,male,70 to 74,13.08,12.78,13.38,6.89,5.70,8.08,52.67,,
S12000038,Renfrewshire,male,75 to 79,10.05,9.77,10.34,4.97,3.73,6.21,49.47,,
S12000038,Renfrewshire,male,80 to 84,7.42,7.15,7.69,3.44,2.29,4.58,46.31,,
S12000038,Renfrewshire,male,85 to 89,5.25,4.96,5.54,2.26,1.33,3.20,43.12,,
S12000038,Renfrewshire,male,90+,3.86,3.43,4.29,1.58,0.67,2.49,40.84,,
S12000038,Renfrewshire,female,less than 1,80.22,79.75,80.69,60.79,58.73,62.85,75.78,,
S12000038,Renfrewshire,female,1 to 4,79.38,78.93,79.83,60.03,57.96,62.09,75.62,,
S12000038,Renfrewshire,female,5 to 9,75.46,75.03,75.90,56.56,54.53,58.58,74.94,,
S12000038,Renfrewshire,female,10 to 14,70.49,70.05,70.93,52.17,50.22,54.13,74.02,,
S12000038,Renfrewshire,female,15 to 19,65.52,65.08,65.95,47.82,45.94,49.71,72.99,,
S12000038,Renfrewshire,female,20 to 24,60.56,60.13,60.99,43.52,41.71,45.33,71.86,,
S12000038,Renfrewshire,female,25 to 29,55.65,55.23,56.07,39.29,37.54,41.05,70.61,,
S12000038,Renfrewshire,female,30 to 34,50.84,50.43,51.25,35.21,33.51,36.90,69.25,,
S12000038,Renfrewshire,female,35 to 39,46.03,45.63,46.43,31.20,29.56,32.85,67.79,,
S12000038,Renfrewshire,female,40 to 44,41.30,40.92,41.69,27.34,25.75,28.94,66.20,,
S12000038,Renfrewshire,female,45 to 49,36.61,36.24,36.98,23.61,22.14,25.09,64.50,,
S12000038,Renfrewshire,female,50 to 54,32.03,31.68,32.39,20.08,18.64,21.52,62.70,,
S12000038,Renfrewshire,female,55 to 59,27.49,27.15,27.83,16.70,15.30,18.10,60.74,,
S12000038,Renfrewshire,female,60 to 64,23.09,22.76,23.42,13.54,12.20,14.87,58.63,,
S12000038,Renfrewshire,female,65 to 69,18.90,18.59,19.21,10.67,9.38,11.96,56.47,,
S12000038,Renfrewshire,female,70 to 74,14.97,14.68,15.27,8.11,6.83,9.38,54.15,,
S12000038,Renfrewshire,female,75 to 79,11.60,11.33,11.87,5.98,4.70,7.26,51.53,,
S12000038,Renfrewshire,female,80 to 84,8.65,8.40,8.91,4.20,2.94,5.47,48.58,,
S12000038,Renfrewshire,female,85 to 89,6.11,5.85,6.37,2.74,1.68,3.79,44.78,,
S12000038,Renfrewshire,female,90+,4.29,3.95,4.63,1.72,0.72,2.72,40.14,,
S12000039,West Dunbartonshire,male,less than 1,75.04,74.29,75.80,58.18,56.33,60.03,77.53,,
S12000039,West Dunbartonshire,male,1 to 4,74.25,73.52,74.98,57.34,55.49,59.19,77.23,,
S12000039,West Dunbartonshire,male,5 to 9,70.35,69.63,71.07,53.41,51.56,55.27,75.93,,
S12000039,West Dunbartonshire,male,10 to 14,65.35,64.63,66.07,48.45,46.60,50.30,74.14,,
S12000039,West Dunbartonshire,male,15 to 19,60.35,59.63,61.07,43.61,41.78,45.44,72.27,,
S12000039,West Dunbartonshire,male,20 to 24,55.54,54.84,56.24,39.05,37.26,40.84,70.31,,
S12000039,West Dunbartonshire,male,25 to 29,50.85,50.18,51.53,34.68,32.92,36.44,68.19,,
S12000039,West Dunbartonshire,male,30 to 34,46.14,45.48,46.80,30.46,28.77,32.15,66.01,,
S12000039,West Dunbartonshire,male,35 to 39,41.57,40.94,42.20,26.52,24.90,28.14,63.80,,
S12000039,West Dunbartonshire,male,40 to 44,37.07,36.47,37.66,22.78,21.23,24.33,61.46,,
S12000039,West Dunbartonshire,male,45 to 49,32.70,32.15,33.26,19.27,17.79,20.76,58.93,,
S12000039,West Dunbartonshire,male,50 to 54,28.38,27.86,28.91,15.98,14.58,17.38,56.31,,
S12000039,West Dunbartonshire,male,55 to 59,24.17,23.67,24.68,12.93,11.59,14.27,53.50,,
S12000039,West Dunbartonshire,male,60 to 64,20.07,19.58,20.55,10.26,8.98,11.53,51.11,,
S12000039,West Dunbartonshire,male,65 to 69,16.43,15.97,16.89,8.02,6.78,9.26,48.82,,
S12000039,West Dunbartonshire,male,70 to 74,12.88,12.43,13.32,5.97,4.71,7.23,46.38,,
S12000039,West Dunbartonshire,male,75 to 79,10.02,9.59,10.44,4.47,3.11,5.83,44.59,,
S12000039,West Dunbartonshire,male,80 to 84,7.50,7.08,7.92,3.18,1.92,4.45,42.48,,
S12000039,West Dunbartonshire,male,85 to 89,5.50,5.03,5.97,2.27,1.19,3.35,41.24,,
S12000039,West Dunbartonshire,male,90+,3.76,3.11,4.42,1.61,0.62,2.61,42.83,,
S12000039,West Dunbartonshire,female,less than 1,79.09,78.41,79.77,59.66,57.90,61.41,75.43,,
S12000039,West Dunbartonshire,female,1 to 4,78.21,77.54,78.87,58.75,56.98,60.51,75.12,,
S12000039,West Dunbartonshire,female,5 to 9,74.26,73.60,74.91,54.83,53.08,56.59,73.84,,
S12000039,West Dunbartonshire,female,10 to 14,69.35,68.71,69.99,50.03,48.29,51.77,72.14,,
S12000039,West Dunbartonshire,female,15 to 19,64.45,63.82,65.08,45.31,43.60,47.01,70.30,,
S12000039,West Dunbartonshire,female,20 to 24,59.58,58.96,60.19,40.71,39.05,42.37,68.33,,
S12000039,West Dunbartonshire,female,25 to 29,54.65,54.04,55.25,36.20,34.59,37.81,66.25,,
S12000039,West Dunbartonshire,female,30 to 34,49.79,49.20,50.39,31.89,30.33,33.45,64.05,,
S12000039,West Dunbartonshire,female,35 to 39,45.06,44.49,45.64,27.80,26.28,29.32,61.69,,
S12000039,West Dunbartonshire,female,40 to 44,40.35,39.80,40.90,23.88,22.42,25.35,59.18,,
S12000039,West Dunbartonshire,female,45 to 49,35.87,35.36,36.39,20.27,18.90,21.64,56.51,,
S12000039,West Dunbartonshire,female,50 to 54,31.33,30.84,31.83,16.80,15.51,18.10,53.63,,
S12000039,West Dunbartonshire,female,55 to 59,26.93,26.46,27.41,13.65,12.41,14.88,50.67,,
S12000039,West Dunbartonshire,female,60 to 64,22.65,22.20,23.11,10.77,9.57,11.96,47.53,,
S12000039,West Dunbartonshire,female,65 to 69,18.52,18.09,18.95,8.17,7.04,9.29,44.10,,
S12000039,West Dunbartonshire,female,70 to 74,14.68,14.28,15.09,5.91,4.82,7.00,40.28,,
S12000039,West Dunbartonshire,female,75 to 79,11.36,10.99,11.72,4.09,3.02,5.16,36.04,,
S12000039,West Dunbartonshire,female,80 to 84,8.41,8.07,8.75,2.68,1.81,3.56,31.92,,
S12000039,West Dunbartonshire,female,85 to 89,5.95,5.62,6.28,1.64,0.94,2.34,27.58,,
S12000039,West Dunbartonshire,female,90+,3.88,3.47,4.29,0.88,0.30,1.46,22.74,,
S12000040,West Lothian,male,less than 1,78.08,77.57,78.58,61.88,59.63,64.12,79.25,,
S12000040,West Lothian,male,1 to 4,77.25,76.76,77.74,61.07,58.82,63.32,79.05,,
S12000040,West Lothian,male,5 to 9,73.30,72.81,73.78,57.38,55.15,59.60,78.28,,
S12000040,West Lothian,male,10 to 14,68.36,67.87,68.84,52.82,50.65,55.00,77.28,,
S12000040,West Lothian,male,15 to 19,63.38,62.89,63.86,48.27,46.14,50.39,76.16,,
S12000040,West Lothian,male,20 to 24,58.47,58.00,58.94,43.77,41.70,45.85,74.87,,
S12000040,West Lothian,male,25 to 29,53.57,53.11,54.04,39.46,37.45,41.48,73.66,,
S12000040,West Lothian,male,30 to 34,48.78,48.32,49.24,35.31,33.34,37.27,72.38,,
S12000040,West Lothian,male,35 to 39,44.15,43.71,44.59,31.29,29.35,33.22,70.87,,
S12000040,West Lothian,male,40 to 44,39.36,38.93,39.79,27.21,25.32,29.09,69.12,,
S12000040,West Lothian,male,45 to 49,34.65,34.23,35.07,23.26,21.42,25.10,67.13,,
S12000040,West Lothian,male,50 to 54,30.14,29.74,30.55,19.53,17.70,21.35,64.78,,
S12000040,West Lothian,male,55 to 59,25.77,25.38,26.17,16.03,14.23,17.83,62.19,,
S12000040,West Lothian,male,60 to 64,21.46,21.07,21.84,12.78,10.99,14.57,59.55,,
S12000040,West Lothian,male,65 to 69,17.49,17.12,17.86,10.04,8.24,11.84,57.41,,
S12000040,West Lothian,male,70 to 74,13.92,13.56,14.28,7.66,5.78,9.53,55.01,,
S12000040,West Lothian,male,75 to 79,10.73,10.38,11.09,5.60,3.56,7.64,52.15,,
S12000040,West Lothian,male,80 to 84,8.00,7.63,8.36,4.01,1.79,6.24,50.16,,
S12000040,West Lothian,male,85 to 89,5.90,5.48,6.32,2.95,1.03,4.87,49.98,,
S12000040,West Lothian,male,90+,4.39,3.77,5.02,2.25,0.29,4.20,51.12,,
S12000040,West Lothian,female,less than 1,80.97,80.49,81.44,62.15,59.91,64.39,76.76,,
S12000040,West Lothian,female,1 to 4,80.14,79.68,80.59,61.37,59.13,63.62,76.59,,
S12000040,West Lothian,female,5 to 9,76.16,75.71,76.61,57.77,55.55,59.99,75.85,,
S12000040,West Lothian,female,10 to 14,71.21,70.76,71.65,53.30,51.13,55.48,74.86,,
S12000040,West Lothian,female,15 to 19,66.23,65.78,66.67,48.86,46.74,50.98,73.78,,
S12000040,West Lothian,female,20 to 24,61.33,60.89,61.77,44.53,42.46,46.60,72.61,,
S12000040,West Lothian,female,25 to 29,56.43,56.00,56.86,40.26,38.26,42.26,71.35,,
S12000040,West Lothian,female,30 to 34,51.58,51.16,51.99,36.10,34.14,38.06,69.99,,
S12000040,West Lothian,female,35 to 39,46.70,46.28,47.11,32.01,30.08,33.93,68.54,,
S12000040,West Lothian,female,40 to 44,41.87,41.47,42.28,28.05,26.19,29.90,66.99,,
S12000040,West Lothian,female,45 to 49,37.15,36.75,37.54,24.27,22.45,26.09,65.33,,
S12000040,West Lothian,female,50 to 54,32.43,32.05,32.82,20.61,18.83,22.40,63.55,,
S12000040,West Lothian,female,55 to 59,27.90,27.52,28.27,17.20,15.45,18.94,61.64,,
S12000040,West Lothian,female,60 to 64,23.41,23.05,23.78,13.95,12.24,15.67,59.59,,
S12000040,West Lothian,female,65 to 69,19.29,18.94,19.63,11.07,9.35,12.78,57.38,,
S12000040,West Lothian,female,70 to 74,15.28,14.95,15.62,8.40,6.69,10.12,54.98,,
S12000040,West Lothian,female,75 to 79,11.69,11.37,12.01,6.12,4.33,7.90,52.32,,
S12000040,West Lothian,female,80 to 84,8.64,8.33,8.95,4.26,2.49,6.03,49.35,,
S12000040,West Lothian,female,85 to 89,6.13,5.80,6.46,2.82,1.34,4.30,45.93,,
S12000040,West Lothian,female,90+,4.64,4.19,5.09,1.94,0.42,3.47,41.91,,
S12000041,Angus,male,less than 1,78.16,77.53,78.79,62.92,60.94,64.89,80.49,,
S12000041,Angus,male,1 to 4,77.39,76.79,77.99,62.19,60.21,64.17,80.36,,
S12000041,Angus,male,5 to 9,73.47,72.88,74.06,58.62,56.66,60.57,79.78,,
S12000041,Angus,male,10 to 14,68.47,67.88,69.06,54.10,52.20,56.00,79.01,,
S12000041,Angus,male,15 to 19,63.47,62.88,64.06,49.60,47.75,51.45,78.14,,
S12000041,Angus,male,20 to 24,58.56,57.98,59.14,45.21,43.41,47.00,77.19,,
S12000041,Angus,male,25 to 29,53.73,53.17,54.30,40.92,39.19,42.65,76.16,,
S12000041,Angus,male,30 to 34,49.05,48.51,49.59,36.81,35.14,38.47,75.05,,
S12000041,Angus,male,35 to 39,44.40,43.89,44.91,32.80,31.18,34.42,73.86,,
S12000041,Angus,male,40 to 44,39.80,39.32,40.28,28.84,27.28,30.41,72.48,,
S12000041,Angus,male,45 to 49,35.13,34.67,35.59,24.94,23.44,26.44,70.99,,
S12000041,Angus,male,50 to 54,30.58,30.14,31.02,21.19,19.73,22.64,69.29,,
S12000041,Angus,male,55 to 59,26.22,25.80,26.64,17.68,16.27,19.08,67.42,,
S12000041,Angus,male,60 to 64,21.91,21.51,22.30,14.38,13.05,15.71,65.62,,
S12000041,Angus,male,65 to 69,17.96,17.59,18.34,11.41,10.10,12.71,63.50,,
S12000041,Angus,male,70 to 74,14.24,13.89,14.60,8.63,7.31,9.95,60.60,,
S12000041,Angus,male,75 to 79,10.99,10.65,11.33,6.30,4.96,7.64,57.33,,
S12000041,Angus,male,80 to 84,8.07,7.75,8.40,4.37,3.01,5.73,54.14,,
S12000041,Angus,male,85 to 89,5.74,5.40,6.08,2.96,1.82,4.11,51.62,,
S12000041,Angus,male,90+,3.82,3.36,4.29,1.98,0.95,3.01,51.77,,
S12000041,Angus,female,less than 1,81.63,81.02,82.25,63.10,60.86,65.34,77.30,,
S12000041,Angus,female,1 to 4,81.01,80.46,81.56,62.47,60.22,64.73,77.12,,
S12000041,Angus,female,5 to 9,77.06,76.52,77.60,58.85,56.63,61.07,76.37,,
S12000041,Angus,female,10 to 14,72.06,71.52,72.60,54.31,52.15,56.47,75.37,,
S12000041,Angus,female,15 to 19,67.10,66.56,67.64,49.86,47.76,51.95,74.31,,
S12000041,Angus,female,20 to 24,62.13,61.60,62.67,45.51,43.50,47.53,73.25,,
S12000041,Angus,female,25 to 29,57.23,56.71,57.75,41.33,39.44,43.23,72.22,,
S12000041,Angus,female,30 to 34,52.33,51.81,52.84,37.19,35.36,39.02,71.07,,
S12000041,Angus,female,35 to 39,47.48,46.98,47.98,33.19,31.43,34.95,69.91,,
S12000041,Angus,female,40 to 44,42.71,42.23,43.19,29.33,27.63,31.03,68.67,,
S12000041,Angus,female,45 to 49,38.06,37.60,38.52,25.63,24.05,27.20,67.33,,
S12000041,Angus,female,50 to 54,33.38,32.94,33.82,21.99,20.47,23.52,65.89,,
S12000041,Angus,female,55 to 59,28.88,28.45,29.31,18.56,17.08,20.04,64.26,,
S12000041,Angus,female,60 to 64,24.69,24.29,25.09,15.40,13.94,16.86,62.37,,
S12000041,Angus,female,65 to 69,20.59,20.21,20.96,12.35,10.91,13.79,60.00,,
S12000041,Angus,female,70 to 74,16.48,16.12,16.83,9.43,8.02,10.85,57.25,,
S12000041,Angus,female,75 to 79,12.67,12.33,13.00,6.82,5.41,8.22,53.83,,
S12000041,Angus,female,80 to 84,9.40,9.08,9.72,4.75,3.36,6.13,50.49,,
S12000041,Angus,female,85 to 89,6.57,6.24,6.89,3.10,1.95,4.25,47.20,,
S12000041,Angus,female,90+,4.96,4.53,5.38,2.20,0.99,3.40,44.34,,
S12000042,Dundee City,male,less than 1,73.94,73.31,74.58,56.47,54.30,58.64,76.37,,
S12000042,Dundee City,male,1 to 4,73.52,72.93,74.11,56.01,53.83,58.19,76.18,,
S12000042,Dundee City,male,5 to 9,69.58,69.00,70.16,52.39,50.25,54.53,75.30,,
S12000042,Dundee City,male,10 to 14,64.58,64.00,65.16,47.85,45.80,49.91,74.10,,
S12000042,Dundee City,male,15 to 19,59.58,59.00,60.16,43.30,41.33,45.27,72.68,,
S12000042,Dundee City,male,20 to 24,54.67,54.09,55.25,38.79,36.90,40.68,70.96,,
S12000042,Dundee City,male,25 to 29,49.82,49.25,50.40,34.35,32.48,36.21,68.93,,
S12000042,Dundee City,male,30 to 34,45.22,44.66,45.78,30.20,28.37,32.04,66.79,,
S12000042,Dundee City,male,35 to 39,40.70,40.16,41.25,26.18,24.37,28.00,64.32,,
S12000042,Dundee City,male,40 to 44,36.48,35.97,36.99,22.63,20.88,24.38,62.02,,
S12000042,Dundee City,male,45 to 49,32.42,31.96,32.89,19.45,17.83,21.07,59.99,,
S12000042,Dundee City,male,50 to 54,28.27,27.83,28.71,16.12,14.58,17.67,57.03,,
S12000042,Dundee City,male,55 to 59,24.22,23.81,24.64,13.05,11.55,14.55,53.88,,
S12000042,Dundee City,male,60 to 64,20.25,19.86,20.65,10.39,8.95,11.82,51.29,,
S12000042,Dundee City,male,65 to 69,16.74,16.38,17.11,8.33,6.93,9.72,49.72,,
S12000042,Dundee City,male,70 to 74,13.28,12.94,13.62,6.17,4.75,7.59,46.48,,
S12000042,Dundee City,male,75 to 79,10.27,9.96,10.59,4.37,2.85,5.89,42.57,,
S12000042,Dundee City,male,80 to 84,7.60,7.31,7.90,3.07,1.52,4.62,40.32,,
S12000042,Dundee City,male,85 to 89,5.36,5.06,5.66,1.84,0.61,3.07,34.31,,
S12000042,Dundee City,male,90+,3.59,3.18,4.00,1.46,0.32,2.61,40.77,,
S12000042,Dundee City,female,less than 1,79.36,78.77,79.94,59.81,57.57,62.05,75.37,,
S12000042,Dundee City,female,1 to 4,78.88,78.35,79.40,59.25,56.99,61.50,75.11,,
S12000042,Dundee City,female,5 to 9,74.98,74.46,75.49,55.55,53.30,57.80,74.09,,
S12000042,Dundee City,female,10 to 14,70.01,69.50,70.52,50.91,48.68,53.13,72.71,,
S12000042,Dundee City,female,15 to 19,65.04,64.54,65.55,46.34,44.14,48.53,71.24,,
S12000042,Dundee City,female,20 to 24,60.06,59.56,60.57,41.84,39.68,44.00,69.66,,
S12000042,Dundee City,female,25 to 29,55.08,54.57,55.58,37.41,35.32,39.50,67.92,,
S12000042,Dundee City,female,30 to 34,50.19,49.69,50.69,33.20,31.16,35.24,66.14,,
S12000042,Dundee City,female,35 to 39,45.43,44.94,45.92,29.18,27.20,31.17,64.24,,
S12000042,Dundee City,female,40 to 44,40.74,40.27,41.21,25.45,23.57,27.33,62.46,,
S12000042,Dundee City,female,45 to 49,36.11,35.67,36.56,21.85,20.06,23.65,60.51,,
S12000042,Dundee City,female,50 to 54,31.51,31.07,31.94,18.46,16.74,20.18,58.58,,
S12000042,Dundee City,female,55 to 59,27.22,26.81,27.64,15.43,13.79,17.08,56.69,,
S12000042,Dundee City,female,60 to 64,23.04,22.65,23.43,12.62,11.06,14.18,54.77,,
S12000042,Dundee City,female,65 to 69,19.04,18.67,19.40,9.92,8.43,11.42,52.13,,
S12000042,Dundee City,female,70 to 74,15.57,15.23,15.90,7.51,6.00,9.02,48.23,,
S12000042,Dundee City,female,75 to 79,11.96,11.65,12.27,5.38,3.90,6.86,44.97,,
S12000042,Dundee City,female,80 to 84,9.13,8.84,9.42,3.82,2.34,5.30,41.87,,
S12000042,Dundee City,female,85 to 89,6.49,6.20,6.78,2.56,1.32,3.80,39.42,,
S12000042,Dundee City,female,90+,4.48,4.11,4.85,1.70,0.53,2.88,38.02,,
S12000044,North Lanarkshire,male,less than 1,75.29,74.91,75.66,58.12,56.35,59.90,77.20,,
S12000044,North Lanarkshire,male,1 to 4,74.57,74.21,74.93,57.43,55.65,59.21,77.02,,
S12000044,North Lanarkshire,male,5 to 9,70.64,70.29,71.00,53.83,52.08,55.58,76.20,,
S12000044,North Lanarkshire,male,10 to 14,65.65,65.30,66.01,49.26,47.55,50.97,75.03,,
S12000044,North Lanarkshire,male,15 to 19,60.69,60.34,61.05,44.69,43.03,46.36,73.64,,
S12000044,North Lanarkshire,male,20 to 24,55.85,55.51,56.20,40.23,38.61,41.86,72.03,,
S12000044,North Lanarkshire,male,25 to 29,51.03,50.69,51.37,35.83,34.26,37.40,70.22,,
S12000044,North Lanarkshire,male,30 to 34,46.32,45.99,46.65,31.57,30.05,33.10,68.16,,
S12000044,North Lanarkshire,male,35 to 39,41.71,41.39,42.02,27.48,26.01,28.95,65.89,,
S12000044,North Lanarkshire,male,40 to 44,37.09,36.79,37.39,23.49,22.07,24.92,63.34,,
S12000044,North Lanarkshire,male,45 to 49,32.66,32.37,32.94,19.74,18.36,21.12,60.46,,
S12000044,North Lanarkshire,male,50 to 54,28.35,28.07,28.62,16.22,14.88,17.56,57.21,,
S12000044,North Lanarkshire,male,55 to 59,24.08,23.82,24.35,12.94,11.65,14.23,53.73,,
S12000044,North Lanarkshire,male,60 to 64,19.97,19.72,20.22,10.02,8.77,11.27,50.18,,
S12000044,North Lanarkshire,male,65 to 69,16.17,15.93,16.41,7.58,6.36,8.79,46.85,,
S12000044,North Lanarkshire,male,70 to 74,12.82,12.59,13.05,5.54,4.33,6.76,43.26,,
S12000044,North Lanarkshire,male,75 to 79,9.84,9.62,10.06,3.87,2.63,5.10,39.28,,
S12000044,North Lanarkshire,male,80 to 84,7.19,6.97,7.41,2.54,1.34,3.75,35.34,,
S12000044,North Lanarkshire,male,85 to 89,5.21,4.96,5.45,1.61,0.63,2.58,30.84,,
S12000044,North Lanarkshire,male,90+,3.92,3.53,4.30,1.08,0.14,2.01,27.46,,
S12000044,North Lanarkshire,female,less than 1,79.42,79.08,79.76,60.41,58.72,62.10,76.07,,
S12000044,North Lanarkshire,female,1 to 4,78.60,78.27,78.92,59.55,57.86,61.24,75.77,,
S12000044,North Lanarkshire,female,5 to 9,74.61,74.29,74.94,55.59,53.89,57.28,74.50,,
S12000044,North Lanarkshire,female,10 to 14,69.64,69.31,69.96,50.67,48.99,52.35,72.77,,
S12000044,North Lanarkshire,female,15 to 19,64.68,64.36,65.00,45.82,44.15,47.49,70.83,,
S12000044,North Lanarkshire,female,20 to 24,59.74,59.43,60.06,41.08,39.44,42.72,68.75,,
S12000044,North Lanarkshire,female,25 to 29,54.80,54.49,55.11,36.47,34.86,38.07,66.55,,
S12000044,North Lanarkshire,female,30 to 34,49.97,49.67,50.28,32.05,30.48,33.63,64.14,,
S12000044,North Lanarkshire,female,35 to 39,45.20,44.90,45.49,27.79,26.25,29.32,61.48,,
S12000044,North Lanarkshire,female,40 to 44,40.49,40.20,40.77,23.74,22.24,25.23,58.63,,
S12000044,North Lanarkshire,female,45 to 49,35.86,35.58,36.13,19.89,18.44,21.34,55.47,,
S12000044,North Lanarkshire,female,50 to 54,31.33,31.06,31.59,16.32,14.91,17.72,52.08,,
S12000044,North Lanarkshire,female,55 to 59,26.84,26.58,27.09,13.04,11.69,14.40,48.60,,
S12000044,North Lanarkshire,female,60 to 64,22.58,22.34,22.83,10.19,8.89,11.49,45.11,,
S12000044,North Lanarkshire,female,65 to 69,18.51,18.28,18.74,7.63,6.39,8.86,41.19,,
S12000044,North Lanarkshire,female,70 to 74,14.68,14.46,14.90,5.42,4.24,6.60,36.92,,
S12000044,North Lanarkshire,female,75 to 79,11.22,11.02,11.42,3.68,2.54,4.81,32.76,,
S12000044,North Lanarkshire,female,80 to 84,8.32,8.13,8.51,2.41,1.39,3.43,28.98,,
S12000044,North Lanarkshire,female,85 to 89,5.84,5.64,6.04,1.50,0.69,2.31,25.65,,
S12000044,North Lanarkshire,female,90+,3.99,3.73,4.25,0.92,0.20,1.65,23.14,,
S12000045,East Dunbartonshire,male,less than 1,80.08,79.42,80.73,68.92,67.37,70.48,86.07,,
S12000045,East Dunbartonshire,male,1 to 4,79.13,78.48,79.77,68.00,66.45,69.55,85.94,,
S12000045,East Dunbartonshire,male,5 to 9,75.22,74.58,75.85,64.20,62.66,65.75,85.36,,
S12000045,East Dunbartonshire,male,10 to 14,70.22,69.58,70.85,59.35,57.82,60.88,84.52,,
S12000045,East Dunbartonshire,male,15 to 19,65.22,64.58,65.85,54.52,53.01,56.03,83.59,,
S12000045,East Dunbartonshire,male,20 to 24,60.38,59.76,61.00,49.83,48.34,51.32,82.53,,
S12000045,East Dunbartonshire,male,25 to 29,55.58,54.98,56.19,45.21,43.75,46.68,81.35,,
S12000045,East Dunbartonshire,male,30 to 34,50.74,50.15,51.33,40.63,39.22,42.04,80.08,,
S12000045,East Dunbartonshire,male,35 to 39,45.94,45.37,46.51,36.12,34.77,37.47,78.63,,
S12000045,East Dunbartonshire,male,40 to 44,41.22,40.67,41.77,31.74,30.43,33.05,77.01,,
S12000045,East Dunbartonshire,male,45 to 49,36.79,36.28,37.30,27.69,26.41,28.97,75.25,,
S12000045,East Dunbartonshire,male,50 to 54,32.20,31.71,32.69,23.59,22.36,24.83,73.27,,
S12000045,East Dunbartonshire,male,55 to 59,27.64,27.16,28.12,19.65,18.48,20.83,71.10,,
S12000045,East Dunbartonshire,male,60 to 64,23.48,23.03,23.94,16.12,14.97,17.26,68.64,,
S12000045,East Dunbartonshire,male,65 to 69,19.32,18.89,19.76,12.76,11.65,13.87,66.03,,
S12000045,East Dunbartonshire,male,70 to 74,15.29,14.87,15.71,9.62,8.54,10.70,62.92,,
S12000045,East Dunbartonshire,male,75 to 79,11.94,11.54,12.34,7.09,6.02,8.15,59.34,,
S12000045,East Dunbartonshire,male,80 to 84,9.04,8.65,9.43,5.03,4.10,5.96,55.63,,
S12000045,East Dunbartonshire,male,85 to 89,6.37,5.95,6.79,3.33,2.55,4.11,52.28,,
S12000045,East Dunbartonshire,male,90+,4.30,3.74,4.87,2.10,1.37,2.83,48.82,,
S12000045,East Dunbartonshire,female,less than 1,83.33,82.77,83.90,68.20,66.42,69.98,81.84,,
S12000045,East Dunbartonshire,female,1 to 4,82.39,81.83,82.94,67.31,65.53,69.08,81.70,,
S12000045,East Dunbartonshire,female,5 to 9,78.44,77.89,78.98,63.61,61.86,65.36,81.10,,
S12000045,East Dunbartonshire,female,10 to 14,73.48,72.94,74.02,58.99,57.29,60.69,80.28,,
S12000045,East Dunbartonshire,female,15 to 19,68.52,67.99,69.06,54.34,52.68,55.99,79.30,,
S12000045,East Dunbartonshire,female,20 to 24,63.60,63.07,64.12,49.77,48.17,51.38,78.26,,
S12000045,East Dunbartonshire,female,25 to 29,58.71,58.19,59.22,45.29,43.76,46.82,77.14,,
S12000045,East Dunbartonshire,female,30 to 34,53.74,53.24,54.25,40.83,39.36,42.30,75.97,,
S12000045,East Dunbartonshire,female,35 to 39,48.92,48.43,49.40,36.49,35.09,37.89,74.59,,
S12000045,East Dunbartonshire,female,40 to 44,44.05,43.57,44.52,32.16,30.80,33.51,73.01,,
S12000045,East Dunbartonshire,female,45 to 49,39.25,38.79,39.71,27.94,26.63,29.24,71.19,,
S12000045,East Dunbartonshire,female,50 to 54,34.49,34.05,34.94,23.80,22.54,25.06,69.00,,
S12000045,East Dunbartonshire,female,55 to 59,29.88,29.45,30.31,19.97,18.75,21.18,66.83,,
S12000045,East Dunbartonshire,female,60 to 64,25.35,24.94,25.77,16.27,15.10,17.45,64.18,,
S12000045,East Dunbartonshire,female,65 to 69,21.07,20.67,21.46,12.79,11.65,13.92,60.69,,
S12000045,East Dunbartonshire,female,70 to 74,17.02,16.65,17.39,9.71,8.60,10.81,57.04,,
S12000045,East Dunbartonshire,female,75 to 79,13.12,12.78,13.47,6.86,5.79,7.94,52.32,,
S12000045,East Dunbartonshire,female,80 to 84,9.64,9.31,9.97,4.58,3.61,5.54,47.45,,
