Table 8. Life expectancy in Scotland's council areas split by deprivation quintile 2014-2018,,,,,,,,,
,,,,,,,,,
Council area,SIMD quintile (SIMD 2016),Sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),,,
Na h-Eileanan Siar,2,female,20 to 24,61.49928,59.13893,63.85963,,,
Na h-Eileanan Siar,2,female,25 to 29,57.2586,55.39524,59.12197,,,
Na h-Eileanan Siar,2,female,30 to 34,52.84426,51.35594,54.33257,,,
Na h-Eileanan Siar,2,female,35 to 39,47.84426,46.35594,49.33257,,,
Na h-Eileanan Siar,2,female,40 to 44,42.84426,41.35594,44.33257,,,
Na h-Eileanan Siar,2,female,45 to 49,37.84426,36.35594,39.33257,,,
Na h-Eileanan Siar,2,female,50 to 54,33.04451,31.60044,34.48857,,,
Na h-Eileanan Siar,2,female,55 to 59,28.72027,27.40484,30.0357,,,
Na h-Eileanan Siar,2,female,60 to 64,24.001,22.73033,25.27167,,,
Na h-Eileanan Siar,2,female,65 to 69,19.67291,18.48169,20.86413,,,
Na h-Eileanan Siar,2,female,70 to 74,15.78304,14.6782,16.88788,,,
Na h-Eileanan Siar,2,female,75 to 79,11.82299,10.817,12.82898,,,
Na h-Eileanan Siar,2,female,80 to 84,8.45316,7.54446,9.36186,,,
Na h-Eileanan Siar,2,female,85 to 89,5.6472,4.80879,6.48561,,,
Na h-Eileanan Siar,2,female,90+,3.21053,2.18973,4.23133,,,
Na h-Eileanan Siar,2,male,less than 1,73.97573,70.73923,77.21224,,,
Na h-Eileanan Siar,2,male,1 to 4,72.97573,69.73923,76.21224,,,
Na h-Eileanan Siar,2,male,5 to 9,68.97573,65.73923,72.21224,,,
Na h-Eileanan Siar,2,male,10 to 14,63.97573,60.73923,67.21224,,,
Na h-Eileanan Siar,2,male,15 to 19,58.97573,55.73923,62.21224,,,
Na h-Eileanan Siar,2,male,20 to 24,54.44597,51.3165,57.57544,,,
Na h-Eileanan Siar,2,male,25 to 29,49.99335,47.02049,52.96621,,,
Na h-Eileanan Siar,2,male,30 to 34,45.44696,42.58174,48.31219,,,
Na h-Eileanan Siar,2,male,35 to 39,41.89624,39.44828,44.3442,,,
Na h-Eileanan Siar,2,male,40 to 44,38.19645,36.15724,40.23565,,,
Na h-Eileanan Siar,2,male,45 to 49,33.9448,32.04681,35.84279,,,
Na h-Eileanan Siar,2,male,50 to 54,29.44578,27.60416,31.2874,,,
Na h-Eileanan Siar,2,male,55 to 59,25.45391,23.70134,27.20647,,,
Na h-Eileanan Siar,2,male,60 to 64,21.41734,19.72315,23.11153,,,
Na h-Eileanan Siar,2,male,65 to 69,17.88229,16.22704,19.53754,,,
Na h-Eileanan Siar,2,male,70 to 74,14.30588,12.62577,15.98599,,,
Na h-Eileanan Siar,2,male,75 to 79,11.91012,10.13659,13.68366,,,
Na h-Eileanan Siar,2,male,80 to 84,9.781,7.82474,11.73727,,,
Na h-Eileanan Siar,2,male,85 to 89,7.78968,5.40694,10.17243,,,
Na h-Eileanan Siar,2,male,90+,6.38462,2.9139,9.85533,,,
Na h-Eileanan Siar,3,female,less than 1,82.01191,80.03293,83.99089,,,
Na h-Eileanan Siar,3,female,1 to 4,81.01191,79.03293,82.99089,,,
Na h-Eileanan Siar,3,female,5 to 9,77.01191,75.03293,78.99089,,,
Na h-Eileanan Siar,3,female,10 to 14,72.01191,70.03293,73.99089,,,
Na h-Eileanan Siar,3,female,15 to 19,67.01191,65.03293,68.99089,,,
Na h-Eileanan Siar,3,female,20 to 24,62.01191,60.03293,63.99089,,,
Na h-Eileanan Siar,3,female,25 to 29,57.01191,55.03293,58.99089,,,
Na h-Eileanan Siar,3,female,30 to 34,52.01191,50.03293,53.99089,,,
Na h-Eileanan Siar,3,female,35 to 39,47.40146,45.56008,49.24284,,,
Na h-Eileanan Siar,3,female,40 to 44,42.40146,40.56008,44.24284,,,
Na h-Eileanan Siar,3,female,45 to 49,37.8996,36.16949,39.62971,,,
Na h-Eileanan Siar,3,female,50 to 54,33.26156,31.58807,34.93506,,,
Na h-Eileanan Siar,3,female,55 to 59,28.55964,26.92171,30.19757,,,
Na h-Eileanan Siar,3,female,60 to 64,24.36065,22.80283,25.91848,,,
Na h-Eileanan Siar,3,female,65 to 69,20.47536,19.01824,21.93248,,,
Na h-Eileanan Siar,3,female,70 to 74,16.73398,15.37789,18.09007,,,
Na h-Eileanan Siar,3,female,75 to 79,13.7569,12.49885,15.01495,,,
Na h-Eileanan Siar,3,female,80 to 84,10.15744,8.94441,11.37048,,,
Na h-Eileanan Siar,3,female,85 to 89,7.36868,6.12474,8.61262,,,
Na h-Eileanan Siar,3,female,90+,6.12727,4.50792,7.74663,,,
Na h-Eileanan Siar,3,male,less than 1,78.90076,77.01693,80.78459,,,
Na h-Eileanan Siar,3,male,1 to 4,77.90076,76.01693,79.78459,,,
Na h-Eileanan Siar,3,male,5 to 9,73.90076,72.01693,75.78459,,,
Na h-Eileanan Siar,3,male,10 to 14,68.90076,67.01693,70.78459,,,
Na h-Eileanan Siar,3,male,15 to 19,63.90076,62.01693,65.78459,,,
Na h-Eileanan Siar,3,male,20 to 24,58.90076,57.01693,60.78459,,,
Na h-Eileanan Siar,3,male,25 to 29,53.90076,52.01693,55.78459,,,
Na h-Eileanan Siar,3,male,30 to 34,48.90076,47.01693,50.78459,,,
Na h-Eileanan Siar,3,male,35 to 39,43.90076,42.01693,45.78459,,,
Na h-Eileanan Siar,3,male,40 to 44,39.52995,37.83126,41.22863,,,
Na h-Eileanan Siar,3,male,45 to 49,34.77965,33.14152,36.41777,,,
Na h-Eileanan Siar,3,male,50 to 54,30.32645,28.78186,31.87104,,,
Na h-Eileanan Siar,3,male,55 to 59,25.97996,24.50914,27.45078,,,
Na h-Eileanan Siar,3,male,60 to 64,21.33916,19.90311,22.77522,,,
Na h-Eileanan Siar,3,male,65 to 69,17.42312,16.0707,18.77554,,,
Na h-Eileanan Siar,3,male,70 to 74,13.89551,12.6034,15.18762,,,
Na h-Eileanan Siar,3,male,75 to 79,11.00579,9.78091,12.23067,,,
Na h-Eileanan Siar,3,male,80 to 84,8.29549,7.08303,9.50794,,,
Na h-Eileanan Siar,3,male,85 to 89,5.68242,4.38079,6.98406,,,
Na h-Eileanan Siar,3,male,90+,4.64706,2.43799,6.85613,,,
Na h-Eileanan Siar,4,female,less than 1,85.18628,83.36769,87.00487,,,
Na h-Eileanan Siar,4,female,1 to 4,84.18628,82.36769,86.00487,,,
Na h-Eileanan Siar,4,female,5 to 9,80.18628,78.36769,82.00487,,,
Na h-Eileanan Siar,4,female,10 to 14,75.18628,73.36769,77.00487,,,
Na h-Eileanan Siar,4,female,15 to 19,70.18628,68.36769,72.00487,,,
Na h-Eileanan Siar,4,female,20 to 24,65.18628,63.36769,67.00487,,,
Na h-Eileanan Siar,4,female,25 to 29,60.18628,58.36769,62.00487,,,
Na h-Eileanan Siar,4,female,30 to 34,55.18628,53.36769,57.00487,,,
Na h-Eileanan Siar,4,female,35 to 39,50.18628,48.36769,52.00487,,,
Na h-Eileanan Siar,4,female,40 to 44,45.18628,43.36769,47.00487,,,
Na h-Eileanan Siar,4,female,45 to 49,40.64429,38.92053,42.36805,,,
Na h-Eileanan Siar,4,female,50 to 54,35.82829,34.13436,37.52223,,,
Na h-Eileanan Siar,4,female,55 to 59,31.66275,30.09225,33.23326,,,
Na h-Eileanan Siar,4,female,60 to 64,27.65807,26.21741,29.09873,,,
Na h-Eileanan Siar,4,female,65 to 69,23.13141,21.74033,24.52249,,,
Na h-Eileanan Siar,4,female,70 to 74,18.53794,17.17769,19.89819,,,
Na h-Eileanan Siar,4,female,75 to 79,14.613,13.31841,15.90759,,,
Na h-Eileanan Siar,4,female,80 to 84,10.56979,9.31611,11.82347,,,
Na h-Eileanan Siar,4,female,85 to 89,7.04298,5.75838,8.32758,,,
Na h-Eileanan Siar,4,female,90+,4.17857,2.63081,5.72634,,,
Na h-Eileanan Siar,4,male,less than 1,79.96594,78.22388,81.708,,,
Na h-Eileanan Siar,4,male,1 to 4,78.96594,77.22388,80.708,,,
Na h-Eileanan Siar,4,male,5 to 9,74.96594,73.22388,76.708,,,
Na h-Eileanan Siar,4,male,10 to 14,69.96594,68.22388,71.708,,,
Na h-Eileanan Siar,4,male,15 to 19,64.96594,63.22388,66.708,,,
Na h-Eileanan Siar,4,male,20 to 24,59.96594,58.22388,61.708,,,
Na h-Eileanan Siar,4,male,25 to 29,55.36035,53.78718,56.93352,,,
Na h-Eileanan Siar,4,male,30 to 34,50.36035,48.78718,51.93352,,,
Na h-Eileanan Siar,4,male,35 to 39,45.36035,43.78718,46.93352,,,
Na h-Eileanan Siar,4,male,40 to 44,40.36035,38.78718,41.93352,,,
Na h-Eileanan Siar,4,male,45 to 49,35.56249,34.03162,37.09336,,,
Na h-Eileanan Siar,4,male,50 to 54,30.8387,29.34367,32.33373,,,
Na h-Eileanan Siar,4,male,55 to 59,25.97106,24.49173,27.45039,,,
Na h-Eileanan Siar,4,male,60 to 64,22.20226,20.83592,23.5686,,,
Na h-Eileanan Siar,4,male,65 to 69,18.10834,16.81374,19.40294,,,
Na h-Eileanan Siar,4,male,70 to 74,14.36835,13.12515,15.61155,,,
Na h-Eileanan Siar,4,male,75 to 79,10.89188,9.68162,12.10215,,,
Na h-Eileanan Siar,4,male,80 to 84,7.89171,6.65018,9.13325,,,
Na h-Eileanan Siar,4,male,85 to 89,5.30952,4.04169,6.57735,,,
Na h-Eileanan Siar,4,male,90+,4.05556,2.18198,5.92913,,,
Na h-Eileanan Siar,5,female,less than 1,83.19223,81.61028,84.77419,,,
Na h-Eileanan Siar,5,female,1 to 4,82.19223,80.61028,83.77419,,,
Na h-Eileanan Siar,5,female,5 to 9,78.19223,76.61028,79.77419,,,
Na h-Eileanan Siar,5,female,10 to 14,73.19223,71.61028,74.77419,,,
Na h-Eileanan Siar,5,female,15 to 19,68.19223,66.61028,69.77419,,,
Na h-Eileanan Siar,5,female,20 to 24,63.19223,61.61028,64.77419,,,
Na h-Eileanan Siar,5,female,25 to 29,58.19223,56.61028,59.77419,,,
Na h-Eileanan Siar,5,female,30 to 34,53.19223,51.61028,54.77419,,,
Na h-Eileanan Siar,5,female,35 to 39,48.19223,46.61028,49.77419,,,
Na h-Eileanan Siar,5,female,40 to 44,43.44016,41.92609,44.95422,,,
Na h-Eileanan Siar,5,female,45 to 49,38.65574,37.19386,40.11763,,,
Na h-Eileanan Siar,5,female,50 to 54,34.12796,32.74809,35.50782,,,
Na h-Eileanan Siar,5,female,55 to 59,29.51762,28.19308,30.84216,,,
Na h-Eileanan Siar,5,female,60 to 64,25.2626,24.04302,26.48217,,,
Na h-Eileanan Siar,5,female,65 to 69,20.95377,19.82954,22.078,,,
Na h-Eileanan Siar,5,female,70 to 74,17.13238,16.11997,18.14479,,,
Na h-Eileanan Siar,5,female,75 to 79,12.67983,11.71418,13.64548,,,
Na h-Eileanan Siar,5,female,80 to 84,9.13978,8.24896,10.03059,,,
Na h-Eileanan Siar,5,female,85 to 89,6.12773,5.30172,6.95374,,,
Na h-Eileanan Siar,5,female,90+,4.49367,3.50274,5.4846,,,
Na h-Eileanan Siar,5,male,less than 1,77.21891,75.39898,79.03884,,,
Na h-Eileanan Siar,5,male,1 to 4,76.72001,75.17584,78.26417,,,
Na h-Eileanan Siar,5,male,5 to 9,72.72001,71.17584,74.26417,,,
Na h-Eileanan Siar,5,male,10 to 14,67.72001,66.17584,69.26417,,,
Na h-Eileanan Siar,5,male,15 to 19,62.72001,61.17584,64.26417,,,
Na h-Eileanan Siar,5,male,20 to 24,57.72001,56.17584,59.26417,,,
Na h-Eileanan Siar,5,male,25 to 29,52.72001,51.17584,54.26417,,,
Na h-Eileanan Siar,5,male,30 to 34,47.72001,46.17584,49.26417,,,
Na h-Eileanan Siar,5,male,35 to 39,42.72001,41.17584,44.26417,,,
Na h-Eileanan Siar,5,male,40 to 44,37.72001,36.17584,39.26417,,,
Na h-Eileanan Siar,5,male,45 to 49,33.26718,31.82852,34.70585,,,
Na h-Eileanan Siar,5,male,50 to 54,28.53898,27.13779,29.94017,,,
Na h-Eileanan Siar,5,male,55 to 59,24.2377,22.91515,25.56025,,,
Na h-Eileanan Siar,5,male,60 to 64,20.31722,19.09248,21.54196,,,
Na h-Eileanan Siar,5,male,65 to 69,16.22165,15.05719,17.38611,,,
Na h-Eileanan Siar,5,male,70 to 74,13.29783,12.19347,14.40219,,,
Na h-Eileanan Siar,5,male,75 to 79,10.49603,9.45214,11.53992,,,
Na h-Eileanan Siar,5,male,80 to 84,7.86085,6.88122,8.84047,,,
Na h-Eileanan Siar,5,male,85 to 89,5.62249,4.67517,6.56982,,,
Na h-Eileanan Siar,5,male,90+,3.39394,2.23595,4.55193,,,
Na h-Eileanan Siar,all,female,less than 1,82.87401,81.99563,83.7524,,,
Na h-Eileanan Siar,all,female,1 to 4,81.87401,80.99563,82.7524,,,
Na h-Eileanan Siar,all,female,5 to 9,77.87401,76.99563,78.7524,,,
Na h-Eileanan Siar,all,female,10 to 14,72.87401,71.99563,73.7524,,,
Na h-Eileanan Siar,all,female,15 to 19,67.87401,66.99563,68.7524,,,
Na h-Eileanan Siar,all,female,20 to 24,62.97201,62.11357,63.83045,,,
Na h-Eileanan Siar,all,female,25 to 29,58.08138,57.24858,58.91418,,,
Na h-Eileanan Siar,all,female,30 to 34,53.26853,52.47434,54.06272,,,
Na h-Eileanan Siar,all,female,35 to 39,48.34593,47.56515,49.1267,,,
Na h-Eileanan Siar,all,female,40 to 44,43.46658,42.70186,44.23129,,,
Na h-Eileanan Siar,all,female,45 to 49,38.76215,38.0294,39.4949,,,
Na h-Eileanan Siar,all,female,50 to 54,34.08907,33.38152,34.79661,,,
Na h-Eileanan Siar,all,female,55 to 59,29.6707,29.00021,30.3412,,,
Na h-Eileanan Siar,all,female,60 to 64,25.44228,24.81662,26.06795,,,
Na h-Eileanan Siar,all,female,65 to 69,21.21071,20.62346,21.79795,,,
Na h-Eileanan Siar,all,female,70 to 74,17.21065,16.65987,17.76143,,,
Na h-Eileanan Siar,all,female,75 to 79,13.24324,12.72443,13.76205,,,
Na h-Eileanan Siar,all,female,80 to 84,9.77917,9.28901,10.26932,,,
Na h-Eileanan Siar,all,female,85 to 89,6.74815,6.25596,7.24033,,,
Na h-Eileanan Siar,all,female,90+,4.8875,4.26915,5.50585,,,
Na h-Eileanan Siar,all,male,less than 1,76.92818,75.86351,77.99284,,,
Na h-Eileanan Siar,all,male,1 to 4,76.17811,75.1679,77.18832,,,
Na h-Eileanan Siar,all,male,5 to 9,72.29131,71.30423,73.2784,,,
Na h-Eileanan Siar,all,male,10 to 14,67.29131,66.30423,68.2784,,,
Na h-Eileanan Siar,all,male,15 to 19,62.29131,61.30423,63.2784,,,
Na h-Eileanan Siar,all,male,20 to 24,57.55367,56.60796,58.49939,,,
Na h-Eileanan Siar,all,male,25 to 29,52.81925,51.91798,53.72051,,,
Na h-Eileanan Siar,all,male,30 to 34,48.06237,47.19977,48.92498,,,
Na h-Eileanan Siar,all,male,35 to 39,43.42266,42.61311,44.23222,,,
Na h-Eileanan Siar,all,male,40 to 44,38.84226,38.08644,39.59809,,,
Na h-Eileanan Siar,all,male,45 to 49,34.28213,33.56802,34.99624,,,
Na h-Eileanan Siar,all,male,50 to 54,29.68518,28.99645,30.37392,,,
Na h-Eileanan Siar,all,male,55 to 59,25.33987,24.6841,25.99564,,,
Na h-Eileanan Siar,all,male,60 to 64,21.21068,20.58947,21.83189,,,
Na h-Eileanan Siar,all,male,65 to 69,17.40369,16.81946,17.98793,,,
Na h-Eileanan Siar,all,male,70 to 74,13.91498,13.35243,14.47752,,,
Na h-Eileanan Siar,all,male,75 to 79,10.95568,10.41712,11.49424,,,
Na h-Eileanan Siar,all,male,80 to 84,8.1558,7.62125,8.69034,,,
Na h-Eileanan Siar,all,male,85 to 89,5.77639,5.20739,6.3454,,,
Na h-Eileanan Siar,all,male,90+,4.14737,3.31337,4.98137,,,
North Ayrshire,1,female,less than 1,75.18193,74.11974,76.24411,,,
North Ayrshire,1,female,1 to 4,74.57115,73.5743,75.56801,,,
North Ayrshire,1,female,5 to 9,70.66345,69.68188,71.64502,,,
North Ayrshire,1,female,10 to 14,65.66345,64.68188,66.64502,,,
North Ayrshire,1,female,15 to 19,60.74919,59.78078,61.7176,,,
North Ayrshire,1,female,20 to 24,56.05804,55.13301,56.98308,,,
North Ayrshire,1,female,25 to 29,51.291,50.39056,52.19145,,,
North Ayrshire,1,female,30 to 34,46.48743,45.60417,47.37068,,,
North Ayrshire,1,female,35 to 39,41.90725,41.06484,42.74966,,,
North Ayrshire,1,female,40 to 44,37.47515,36.6903,38.26001,,,
North Ayrshire,1,female,45 to 49,33.23697,32.51362,33.96031,,,
North Ayrshire,1,female,50 to 54,28.84719,28.1607,29.53368,,,
North Ayrshire,1,female,55 to 59,24.61773,23.96889,25.26656,,,
North Ayrshire,1,female,60 to 64,20.73008,20.128,21.33217,,,
North Ayrshire,1,female,65 to 69,17.01108,16.45914,17.56302,,,
North Ayrshire,1,female,70 to 74,13.42768,12.91922,13.93615,,,
North Ayrshire,1,female,75 to 79,10.22668,9.75996,10.6934,,,
North Ayrshire,1,female,80 to 84,7.57357,7.13378,8.01336,,,
North Ayrshire,1,female,85 to 89,5.63644,5.19149,6.08138,,,
North Ayrshire,1,female,90+,3.96296,3.39797,4.52796,,,
North Ayrshire,1,male,less than 1,71.76544,70.64537,72.8855,,,
North Ayrshire,1,male,1 to 4,71.12171,70.05189,72.19154,,,
North Ayrshire,1,male,5 to 9,67.12171,66.05189,68.19154,,,
North Ayrshire,1,male,10 to 14,62.20394,61.14496,63.26292,,,
North Ayrshire,1,male,15 to 19,57.37816,56.34398,58.41234,,,
North Ayrshire,1,male,20 to 24,52.44923,51.42314,53.47533,,,
North Ayrshire,1,male,25 to 29,47.61149,46.59863,48.62436,,,
North Ayrshire,1,male,30 to 34,43.00557,42.02136,43.98978,,,
North Ayrshire,1,male,35 to 39,38.60212,37.66307,39.54116,,,
North Ayrshire,1,male,40 to 44,34.38123,33.50294,35.25952,,,
North Ayrshire,1,male,45 to 49,30.4765,29.67986,31.27314,,,
North Ayrshire,1,male,50 to 54,26.68591,25.95635,27.41547,,,
North Ayrshire,1,male,55 to 59,22.83871,22.15655,23.52088,,,
North Ayrshire,1,male,60 to 64,19.1356,18.49678,19.77441,,,
North Ayrshire,1,male,65 to 69,15.57507,14.98121,16.16894,,,
North Ayrshire,1,male,70 to 74,12.10902,11.5433,12.67474,,,
North Ayrshire,1,male,75 to 79,9.23246,8.68529,9.77963,,,
North Ayrshire,1,male,80 to 84,6.94504,6.3848,7.50527,,,
North Ayrshire,1,male,85 to 89,5.13612,4.46306,5.80918,,,
North Ayrshire,1,male,90+,4.74138,3.52114,5.96162,,,
North Ayrshire,2,female,less than 1,79.5248,78.63087,80.41873,,,
North Ayrshire,2,female,1 to 4,78.63287,77.76319,79.50256,,,
North Ayrshire,2,female,5 to 9,74.63287,73.76319,75.50256,,,
North Ayrshire,2,female,10 to 14,69.63287,68.76319,70.50256,,,
North Ayrshire,2,female,15 to 19,64.71074,63.85355,65.56794,,,
North Ayrshire,2,female,20 to 24,59.71074,58.85355,60.56794,,,
North Ayrshire,2,female,25 to 29,54.76838,53.91779,55.61896,,,
North Ayrshire,2,female,30 to 34,49.99217,49.16671,50.81764,,,
North Ayrshire,2,female,35 to 39,45.10046,44.28686,45.91405,,,
North Ayrshire,2,female,40 to 44,40.35412,39.56665,41.14159,,,
North Ayrshire,2,female,45 to 49,35.59903,34.83123,36.36682,,,
North Ayrshire,2,female,50 to 54,30.90147,30.14989,31.65304,,,
North Ayrshire,2,female,55 to 59,26.40044,25.66816,27.13272,,,
North Ayrshire,2,female,60 to 64,22.43596,21.74395,23.12797,,,
North Ayrshire,2,female,65 to 69,18.53239,17.87888,19.18591,,,
North Ayrshire,2,female,70 to 74,14.76321,14.13544,15.39099,,,
North Ayrshire,2,female,75 to 79,11.28728,10.67426,11.90031,,,
North Ayrshire,2,female,80 to 84,8.85121,8.21957,9.48285,,,
North Ayrshire,2,female,85 to 89,6.8107,6.08069,7.54071,,,
North Ayrshire,2,female,90+,5.28431,4.25879,6.30983,,,
North Ayrshire,2,male,less than 1,73.97058,72.89743,75.04374,,,
North Ayrshire,2,male,1 to 4,73.31393,72.28989,74.33796,,,
North Ayrshire,2,male,5 to 9,69.39286,68.37944,70.40628,,,
North Ayrshire,2,male,10 to 14,64.39286,63.37944,65.40628,,,
North Ayrshire,2,male,15 to 19,59.39286,58.37944,60.40628,,,
North Ayrshire,2,male,20 to 24,54.51834,53.51772,55.51896,,,
North Ayrshire,2,male,25 to 29,49.852,48.88124,50.82277,,,
North Ayrshire,2,male,30 to 34,45.02814,44.07445,45.98184,,,
North Ayrshire,2,male,35 to 39,40.44608,39.53465,41.35751,,,
North Ayrshire,2,male,40 to 44,36.11169,35.27345,36.94994,,,
North Ayrshire,2,male,45 to 49,31.84658,31.0712,32.62196,,,
North Ayrshire,2,male,50 to 54,27.65522,26.93232,28.37811,,,
North Ayrshire,2,male,55 to 59,23.3711,22.682,24.06021,,,
North Ayrshire,2,male,60 to 64,19.1368,18.47379,19.79982,,,
North Ayrshire,2,male,65 to 69,15.7365,15.12474,16.34826,,,
North Ayrshire,2,male,70 to 74,12.53509,11.9626,13.10758,,,
North Ayrshire,2,male,75 to 79,9.64915,9.10774,10.19055,,,
North Ayrshire,2,male,80 to 84,7.18347,6.65555,7.71139,,,
North Ayrshire,2,male,85 to 89,5.17101,4.60057,5.74145,,,
North Ayrshire,2,male,90+,3.31148,2.48045,4.1425,,,
North Ayrshire,3,female,less than 1,79.99958,79.02022,80.97893,,,
North Ayrshire,3,female,1 to 4,79.28761,78.38976,80.18546,,,
North Ayrshire,3,female,5 to 9,75.28761,74.38976,76.18546,,,
North Ayrshire,3,female,10 to 14,70.28761,69.38976,71.18546,,,
North Ayrshire,3,female,15 to 19,65.28761,64.38976,66.18546,,,
North Ayrshire,3,female,20 to 24,60.46275,59.59583,61.32967,,,
North Ayrshire,3,female,25 to 29,55.62216,54.78148,56.46285,,,
North Ayrshire,3,female,30 to 34,50.69382,49.86382,51.52383,,,
North Ayrshire,3,female,35 to 39,45.75837,44.93695,46.57978,,,
North Ayrshire,3,female,40 to 44,40.93152,40.13052,41.73251,,,
North Ayrshire,3,female,45 to 49,36.41615,35.65798,37.17432,,,
North Ayrshire,3,female,50 to 54,31.79376,31.05788,32.52965,,,
North Ayrshire,3,female,55 to 59,27.3386,26.62687,28.05032,,,
North Ayrshire,3,female,60 to 64,23.10408,22.42334,23.78481,,,
North Ayrshire,3,female,65 to 69,19.13325,18.48834,19.77816,,,
North Ayrshire,3,female,70 to 74,15.5727,14.95853,16.18688,,,
North Ayrshire,3,female,75 to 79,12.32376,11.73946,12.90807,,,
North Ayrshire,3,female,80 to 84,9.32395,8.75966,9.88824,,,
North Ayrshire,3,female,85 to 89,6.58516,5.98376,7.18656,,,
North Ayrshire,3,female,90+,4.93919,4.14343,5.73495,,,
North Ayrshire,3,male,less than 1,76.10115,75.06956,77.13273,,,
North Ayrshire,3,male,1 to 4,75.10115,74.06956,76.13273,,,
North Ayrshire,3,male,5 to 9,71.31242,70.32028,72.30456,,,
North Ayrshire,3,male,10 to 14,66.31242,65.32028,67.30456,,,
North Ayrshire,3,male,15 to 19,61.48508,60.51954,62.45061,,,
North Ayrshire,3,male,20 to 24,56.48508,55.51954,57.45061,,,
North Ayrshire,3,male,25 to 29,51.75399,50.8203,52.68768,,,
North Ayrshire,3,male,30 to 34,46.95451,46.04501,47.86401,,,
North Ayrshire,3,male,35 to 39,42.40635,41.55142,43.26128,,,
North Ayrshire,3,male,40 to 44,37.79555,36.991,38.60011,,,
North Ayrshire,3,male,45 to 49,33.24114,32.48092,34.00136,,,
North Ayrshire,3,male,50 to 54,29.07877,28.36929,29.78826,,,
North Ayrshire,3,male,55 to 59,24.76316,24.08803,25.43829,,,
North Ayrshire,3,male,60 to 64,20.58505,19.94588,21.22421,,,
North Ayrshire,3,male,65 to 69,16.59238,15.98918,17.19559,,,
North Ayrshire,3,male,70 to 74,12.92065,12.34265,13.49865,,,
North Ayrshire,3,male,75 to 79,10.01033,9.45962,10.56104,,,
North Ayrshire,3,male,80 to 84,7.3626,6.81515,7.91005,,,
North Ayrshire,3,male,85 to 89,5.32005,4.7232,5.9169,,,
North Ayrshire,3,male,90+,3.84932,2.96628,4.73235,,,
North Ayrshire,4,female,less than 1,82.15725,81.2055,83.10901,,,
North Ayrshire,4,female,1 to 4,81.63276,80.8421,82.42343,,,
North Ayrshire,4,female,5 to 9,77.63276,76.8421,78.42343,,,
North Ayrshire,4,female,10 to 14,72.63276,71.8421,73.42343,,,
North Ayrshire,4,female,15 to 19,67.73561,66.96992,68.50131,,,
North Ayrshire,4,female,20 to 24,62.73561,61.96992,63.50131,,,
North Ayrshire,4,female,25 to 29,57.73561,56.96992,58.50131,,,
North Ayrshire,4,female,30 to 34,52.82328,52.07589,53.57066,,,
North Ayrshire,4,female,35 to 39,48.05026,47.34503,48.7555,,,
North Ayrshire,4,female,40 to 44,43.17829,42.49375,43.86282,,,
North Ayrshire,4,female,45 to 49,38.36714,37.70492,39.02936,,,
North Ayrshire,4,female,50 to 54,33.5964,32.9521,34.24071,,,
North Ayrshire,4,female,55 to 59,28.97735,28.35683,29.59788,,,
North Ayrshire,4,female,60 to 64,24.33603,23.73423,24.93783,,,
North Ayrshire,4,female,65 to 69,19.915,19.33824,20.49177,,,
North Ayrshire,4,female,70 to 74,15.8266,15.27543,16.37778,,,
North Ayrshire,4,female,75 to 79,12.21854,11.69108,12.74599,,,
North Ayrshire,4,female,80 to 84,8.94573,8.43059,9.46087,,,
North Ayrshire,4,female,85 to 89,6.57455,6.04232,7.10677,,,
North Ayrshire,4,female,90+,4.97,4.28119,5.65881,,,
North Ayrshire,4,male,less than 1,78.77977,77.81759,79.74194,,,
North Ayrshire,4,male,1 to 4,77.77977,76.81759,78.74194,,,
North Ayrshire,4,male,5 to 9,73.77977,72.81759,74.74194,,,
North Ayrshire,4,male,10 to 14,68.77977,67.81759,69.74194,,,
North Ayrshire,4,male,15 to 19,63.87166,62.92516,64.81816,,,
North Ayrshire,4,male,20 to 24,59.03994,58.12002,59.95985,,,
North Ayrshire,4,male,25 to 29,54.19333,53.29582,55.09084,,,
North Ayrshire,4,male,30 to 34,49.37176,48.5059,50.23763,,,
North Ayrshire,4,male,35 to 39,44.54365,43.70802,45.37927,,,
North Ayrshire,4,male,40 to 44,40.22595,39.49153,40.96038,,,
North Ayrshire,4,male,45 to 49,35.58364,34.8917,36.27558,,,
North Ayrshire,4,male,50 to 54,31.10939,30.45962,31.75916,,,
North Ayrshire,4,male,55 to 59,26.58166,25.95888,27.20445,,,
North Ayrshire,4,male,60 to 64,22.16645,21.57223,22.76068,,,
North Ayrshire,4,male,65 to 69,17.97874,17.42236,18.53512,,,
North Ayrshire,4,male,70 to 74,14.06094,13.53045,14.59144,,,
North Ayrshire,4,male,75 to 79,10.69012,10.18462,11.19563,,,
North Ayrshire,4,male,80 to 84,7.58745,7.09176,8.08313,,,
North Ayrshire,4,male,85 to 89,5.32725,4.78723,5.86728,,,
North Ayrshire,4,male,90+,3.69767,2.91616,4.47919,,,
North Ayrshire,5,female,less than 1,84.51647,83.5151,85.51783,,,
North Ayrshire,5,female,1 to 4,84.08723,83.315,84.85947,,,
North Ayrshire,5,female,5 to 9,80.08723,79.315,80.85947,,,
North Ayrshire,5,female,10 to 14,75.08723,74.315,75.85947,,,
North Ayrshire,5,female,15 to 19,70.08723,69.315,70.85947,,,
North Ayrshire,5,female,20 to 24,65.28486,64.56056,66.00915,,,
