Table 8. Life expectancy in Scotland's council areas split by deprivation quintile 2014-2018,,,,,,,,,
,,,,,,,,,
Council area,SIMD quintile (SIMD 2016),Sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),,,
Aberdeen City,4,male,45 to 49,37.05,36.37,37.72,,,
Aberdeen City,4,male,50 to 54,32.35,31.69,33.02,,,
Aberdeen City,4,male,55 to 59,27.80,27.16,28.45,,,
Aberdeen City,4,male,60 to 64,23.37,22.75,24.00,,,
Aberdeen City,4,male,65 to 69,19.32,18.72,19.92,,,
Aberdeen City,4,male,70 to 74,15.39,14.81,15.97,,,
Aberdeen City,4,male,75 to 79,11.78,11.22,12.33,,,
Aberdeen City,4,male,80 to 84,8.55,8.00,9.09,,,
Aberdeen City,4,male,85 to 89,5.96,5.38,6.54,,,
Aberdeen City,4,male,90+,4.50,3.66,5.35,,,
Aberdeen City,5,female,less than 1,84.44,83.75,85.13,,,
Aberdeen City,5,female,1 to 4,83.60,82.95,84.26,,,
Aberdeen City,5,female,5 to 9,79.76,79.14,80.38,,,
Aberdeen City,5,female,10 to 14,74.83,74.22,75.43,,,
Aberdeen City,5,female,15 to 19,69.83,69.22,70.43,,,
Aberdeen City,5,female,20 to 24,64.97,64.39,65.54,,,
Aberdeen City,5,female,25 to 29,59.97,59.39,60.54,,,
Aberdeen City,5,female,30 to 34,54.97,54.39,55.54,,,
Aberdeen City,5,female,35 to 39,50.00,49.42,50.57,,,
Aberdeen City,5,female,40 to 44,45.03,44.46,45.60,,,
Aberdeen City,5,female,45 to 49,40.17,39.61,40.73,,,
Aberdeen City,5,female,50 to 54,35.46,34.92,36.00,,,
Aberdeen City,5,female,55 to 59,30.70,30.17,31.23,,,
Aberdeen City,5,female,60 to 64,26.07,25.56,26.58,,,
Aberdeen City,5,female,65 to 69,21.53,21.04,22.01,,,
Aberdeen City,5,female,70 to 74,17.05,16.59,17.52,,,
Aberdeen City,5,female,75 to 79,12.92,12.48,13.35,,,
Aberdeen City,5,female,80 to 84,9.30,8.91,9.69,,,
Aberdeen City,5,female,85 to 89,6.36,5.99,6.73,,,
Aberdeen City,5,female,90+,4.07,3.63,4.50,,,
Aberdeen City,5,male,less than 1,81.54,80.80,82.27,,,
Aberdeen City,5,male,1 to 4,80.61,79.89,81.33,,,
Aberdeen City,5,male,5 to 9,76.61,75.89,77.33,,,
Aberdeen City,5,male,10 to 14,71.73,71.04,72.43,,,
Aberdeen City,5,male,15 to 19,66.80,66.12,67.49,,,
Aberdeen City,5,male,20 to 24,61.93,61.27,62.59,,,
Aberdeen City,5,male,25 to 29,57.07,56.43,57.72,,,
Aberdeen City,5,male,30 to 34,52.16,51.52,52.80,,,
Aberdeen City,5,male,35 to 39,47.32,46.69,47.94,,,
Aberdeen City,5,male,40 to 44,42.34,41.72,42.97,,,
Aberdeen City,5,male,45 to 49,37.58,36.97,38.19,,,
Aberdeen City,5,male,50 to 54,32.80,32.20,33.40,,,
Aberdeen City,5,male,55 to 59,28.12,27.54,28.71,,,
Aberdeen City,5,male,60 to 64,23.48,22.90,24.05,,,
Aberdeen City,5,male,65 to 69,18.97,18.41,19.54,,,
Aberdeen City,5,male,70 to 74,14.92,14.37,15.46,,,
Aberdeen City,5,male,75 to 79,11.33,10.81,11.85,,,
Aberdeen City,5,male,80 to 84,8.41,7.92,8.90,,,
Aberdeen City,5,male,85 to 89,5.87,5.36,6.38,,,
Aberdeen City,5,male,90+,4.25,3.53,4.97,,,
Aberdeen City,all,female,less than 1,80.99,80.65,81.34,,,
Aberdeen City,all,female,1 to 4,80.25,79.93,80.57,,,
Aberdeen City,all,female,5 to 9,76.32,76.00,76.64,,,
Aberdeen City,all,female,10 to 14,71.33,71.01,71.65,,,
Aberdeen City,all,female,15 to 19,66.33,66.01,66.65,,,
Aberdeen City,all,female,20 to 24,61.37,61.06,61.69,,,
Aberdeen City,all,female,25 to 29,56.41,56.10,56.72,,,
Aberdeen City,all,female,30 to 34,51.47,51.16,51.78,,,
Aberdeen City,all,female,35 to 39,46.64,46.33,46.95,,,
Aberdeen City,all,female,40 to 44,41.90,41.60,42.20,,,
Aberdeen City,all,female,45 to 49,37.27,36.98,37.56,,,
Aberdeen City,all,female,50 to 54,32.71,32.43,32.98,,,
Aberdeen City,all,female,55 to 59,28.23,27.96,28.49,,,
Aberdeen City,all,female,60 to 64,23.92,23.66,24.17,,,
Aberdeen City,all,female,65 to 69,19.77,19.53,20.01,,,
Aberdeen City,all,female,70 to 74,15.96,15.74,16.18,,,
Aberdeen City,all,female,75 to 79,12.33,12.12,12.53,,,
Aberdeen City,all,female,80 to 84,8.99,8.80,9.18,,,
Aberdeen City,all,female,85 to 89,6.31,6.13,6.50,,,
Aberdeen City,all,female,90+,4.34,4.10,4.58,,,
Aberdeen City,all,male,less than 1,76.67,76.31,77.02,,,
Aberdeen City,all,male,1 to 4,75.93,75.59,76.27,,,
Aberdeen City,all,male,5 to 9,71.97,71.63,72.31,,,
Aberdeen City,all,male,10 to 14,67.04,66.71,67.38,,,
Aberdeen City,all,male,15 to 19,62.07,61.74,62.40,,,
Aberdeen City,all,male,20 to 24,57.17,56.84,57.50,,,
Aberdeen City,all,male,25 to 29,52.30,51.98,52.63,,,
Aberdeen City,all,male,30 to 34,47.45,47.13,47.78,,,
