"Table 2. Life expectancy and healthy life expectancy in Scottish council areas, 2016-2018",,,,,,,,,,
,,,,,,,,,,
Area code,Council area,Sex,Age band,"Life Expectancy (LE, years)",LE lower confidence interval,LE upper confidence interval,Healthy Life Expectancy (HLE) (years),HLE lower confidence interval,HLE upper confidence interval,"Proportion of Life Spent in ""Good"" Health (%)"
S12000017,Highland,Male,5 to 9,72.91,72.45,73.37,59.46,57.41,61.51,81.55
S12000017,Highland,Male,10 to 14,67.93,67.47,68.39,54.67,52.65,56.70,80.48
S12000017,Highland,Male,15 to 19,62.95,62.49,63.41,49.90,47.91,51.90,79.28
S12000017,Highland,Male,20 to 24,58.21,57.76,58.65,45.42,43.46,47.38,78.03
S12000017,Highland,Male,25 to 29,53.47,53.05,53.90,41.03,39.15,42.91,76.73
S12000017,Highland,Male,30 to 34,48.99,48.59,49.39,36.93,35.15,38.71,75.38
S12000017,Highland,Male,35 to 39,44.33,43.95,44.71,32.73,31.08,34.38,73.82
S12000017,Highland,Male,40 to 44,39.81,39.45,40.17,28.73,27.21,30.24,72.16
S12000017,Highland,Male,45 to 49,35.32,34.98,35.66,24.80,23.43,26.17,70.22
S12000017,Highland,Male,50 to 54,30.84,30.52,31.16,20.97,19.72,22.22,67.99
S12000017,Highland,Male,55 to 59,26.45,26.14,26.76,17.41,16.22,18.60,65.80
S12000017,Highland,Male,60 to 64,22.45,22.16,22.74,14.18,13.05,15.32,63.17
S12000017,Highland,Male,65 to 69,18.49,18.21,18.77,11.23,10.13,12.32,60.72
S12000017,Highland,Male,70 to 74,14.79,14.53,15.06,8.55,7.45,9.64,57.77
S12000017,Highland,Male,75 to 79,11.34,11.09,11.60,6.20,5.07,7.33,54.64
S12000017,Highland,Male,80 to 84,8.34,8.09,8.59,4.27,3.11,5.42,51.16
S12000017,Highland,Male,85 to 89,5.92,5.65,6.19,2.89,1.92,3.86,48.77
S12000017,Highland,Male,90+,4.04,3.67,4.41,2.11,1.21,3.01,52.21
S12000018,Inverclyde,Female,less than 1,79.60,78.87,80.33,59.71,57.65,61.76,75.01
S12000018,Inverclyde,Female,1 to 4,78.84,78.17,79.52,58.89,56.83,60.95,74.69
S12000018,Inverclyde,Female,5 to 9,74.84,74.17,75.52,54.92,52.85,56.98,73.37
S12000018,Inverclyde,Female,10 to 14,69.84,69.17,70.52,50.11,48.07,52.14,71.74
S12000018,Inverclyde,Female,15 to 19,64.84,64.17,65.52,45.52,43.54,47.51,70.21
S12000018,Inverclyde,Female,20 to 24,59.84,59.17,60.52,41.17,39.27,43.07,68.79
S12000018,Inverclyde,Female,25 to 29,54.97,54.30,55.63,37.04,35.22,38.87,67.39
S12000018,Inverclyde,Female,30 to 34,50.08,49.43,50.73,33.05,31.30,34.80,66.00
S12000018,Inverclyde,Female,35 to 39,45.40,44.78,46.02,29.26,27.59,30.94,64.45
S12000018,Inverclyde,Female,40 to 44,40.81,40.23,41.40,25.79,24.18,27.39,63.18
S12000018,Inverclyde,Female,45 to 49,36.36,35.82,36.90,22.50,20.96,24.04,61.89
S12000018,Inverclyde,Female,50 to 54,31.82,31.30,32.34,19.32,17.85,20.79,60.72
S12000018,Inverclyde,Female,55 to 59,27.45,26.96,27.95,16.38,14.98,17.77,59.66
S12000018,Inverclyde,Female,60 to 64,23.08,22.61,23.56,13.50,12.19,14.81,58.49
S12000018,Inverclyde,Female,65 to 69,19.05,18.61,19.50,10.96,9.72,12.21,57.54
S12000018,Inverclyde,Female,70 to 74,15.19,14.77,15.60,8.75,7.55,9.95,57.62
