"Table 7. Life expectancy in Scottish Parliamentary constituencies, 2016-2018",,,,,,,,
,,,,,,,,
Scottish Parliamentary Constituency,Sex,Age band,"Life Expectancy (LE, years)",LE lower confidence interval,LE upper confidence interval,,,
Airdrie and Shotts,female,less than 1,79.69,78.95,80.42,,,
Airdrie and Shotts,female,1 to 4,78.69,77.95,79.42,,,
Airdrie and Shotts,female,5 to 9,74.75,74.03,75.48,,,
Airdrie and Shotts,female,10 to 14,69.81,69.10,70.53,,,
Airdrie and Shotts,female,15 to 19,64.87,64.16,65.58,,,
Airdrie and Shotts,female,20 to 24,60.02,59.34,60.71,,,
Airdrie and Shotts,female,25 to 29,55.07,54.39,55.75,,,
Airdrie and Shotts,female,30 to 34,50.15,49.47,50.82,,,
Airdrie and Shotts,female,35 to 39,45.44,44.79,46.09,,,
Airdrie and Shotts,female,40 to 44,40.72,40.09,41.35,,,
Airdrie and Shotts,female,45 to 49,35.97,35.36,36.58,,,
Airdrie and Shotts,female,50 to 54,31.35,30.76,31.95,,,
Airdrie and Shotts,female,55 to 59,26.96,26.39,27.53,,,
Airdrie and Shotts,female,60 to 64,22.83,22.29,23.37,,,
Airdrie and Shotts,female,65 to 69,18.69,18.18,19.21,,,
Airdrie and Shotts,female,70 to 74,14.88,14.40,15.36,,,
Airdrie and Shotts,female,75 to 79,11.13,10.67,11.59,,,
Airdrie and Shotts,female,80 to 84,8.53,8.09,8.97,,,
Airdrie and Shotts,female,85 to 89,5.95,5.48,6.41,,,
Airdrie and Shotts,female,90+,3.79,3.18,4.39,,,
Airdrie and Shotts,male,less than 1,74.79,73.94,75.63,,,
Airdrie and Shotts,male,1 to 4,73.99,73.17,74.81,,,
Airdrie and Shotts,male,5 to 9,70.17,69.37,70.96,,,
Airdrie and Shotts,male,10 to 14,65.17,64.37,65.96,,,
Airdrie and Shotts,male,15 to 19,60.27,59.48,61.05,,,
Airdrie and Shotts,male,20 to 24,55.68,54.94,56.42,,,
Airdrie and Shotts,male,25 to 29,50.68,49.94,51.42,,,
Airdrie and Shotts,male,30 to 34,45.90,45.18,46.62,,,
Airdrie and Shotts,male,35 to 39,41.14,40.43,41.84,,,
Airdrie and Shotts,male,40 to 44,36.70,36.03,37.37,,,
Airdrie and Shotts,male,45 to 49,32.45,31.82,33.08,,,
Airdrie and Shotts,male,50 to 54,28.24,27.65,28.83,,,
Airdrie and Shotts,male,55 to 59,23.86,23.29,24.44,,,
Airdrie and Shotts,male,60 to 64,19.78,19.23,20.33,,,
Airdrie and Shotts,male,65 to 69,16.20,15.68,16.71,,,
Airdrie and Shotts,male,70 to 74,12.95,12.47,13.44,,,
Airdrie and Shotts,male,75 to 79,9.71,9.24,10.18,,,
Airdrie and Shotts,male,80 to 84,6.97,6.50,7.45,,,
Airdrie and Shotts,male,85 to 89,5.07,4.53,5.62,,,
Airdrie and Shotts,male,90+,3.96,3.03,4.88,,,
Almond Valley,female,less than 1,80.65,79.94,81.36,,,
Almond Valley,female,1 to 4,79.83,79.16,80.51,,,
Almond Valley,female,5 to 9,75.83,75.16,76.51,,,
Almond Valley,female,10 to 14,70.93,70.26,71.59,,,
Almond Valley,female,15 to 19,65.97,65.31,66.63,,,
Almond Valley,female,20 to 24,61.01,60.35,61.67,,,
Almond Valley,female,25 to 29,56.13,55.48,56.77,,,
Almond Valley,female,30 to 34,51.23,50.60,51.87,,,
Almond Valley,female,35 to 39,46.29,45.66,46.92,,,
Almond Valley,female,40 to 44,41.47,40.85,42.09,,,
Almond Valley,female,45 to 49,36.78,36.18,37.38,,,
Almond Valley,female,50 to 54,32.00,31.41,32.60,,,
Almond Valley,female,55 to 59,27.54,26.96,28.12,,,
Almond Valley,female,60 to 64,23.23,22.67,23.80,,,
Almond Valley,female,65 to 69,19.21,18.66,19.75,,,
Almond Valley,female,70 to 74,15.24,14.71,15.77,,,
Almond Valley,female,75 to 79,11.77,11.25,12.30,,,
Almond Valley,female,80 to 84,8.86,8.32,9.39,,,
Almond Valley,female,85 to 89,6.41,5.82,7.00,,,
Almond Valley,female,90+,5.14,4.29,5.99,,,
Almond Valley,male,less than 1,77.59,76.80,78.37,,,
Almond Valley,male,1 to 4,77.04,76.31,77.76,,,
Almond Valley,male,5 to 9,73.04,72.31,73.76,,,
Almond Valley,male,10 to 14,68.08,67.36,68.80,,,
Almond Valley,male,15 to 19,63.08,62.36,63.80,,,
Almond Valley,male,20 to 24,58.15,57.44,58.86,,,
Almond Valley,male,25 to 29,53.25,52.55,53.95,,,
Almond Valley,male,30 to 34,48.59,47.91,49.27,,,
Almond Valley,male,35 to 39,43.91,43.25,44.56,,,
Almond Valley,male,40 to 44,39.18,38.54,39.82,,,
Almond Valley,male,45 to 49,34.50,33.88,35.13,,,
Almond Valley,male,50 to 54,29.89,29.27,30.50,,,
Almond Valley,male,55 to 59,25.61,25.02,26.21,,,
Almond Valley,male,60 to 64,21.24,20.65,21.82,,,
Almond Valley,male,65 to 69,17.53,16.96,18.09,,,
Almond Valley,male,70 to 74,13.95,13.40,14.50,,,
Almond Valley,male,75 to 79,10.82,10.26,11.38,,,
Almond Valley,male,80 to 84,8.32,7.73,8.91,,,
Almond Valley,male,85 to 89,5.92,5.23,6.60,,,
Almond Valley,male,90+,4.62,3.55,5.69,,,
Angus North and Mearns,female,less than 1,82.34,81.61,83.06,,,
Angus North and Mearns,female,1 to 4,81.50,80.81,82.19,,,
