"Table 7. Life expectancy in Scottish Parliamentary constituencies, 2016-2018",,,,,,,,
,,,,,,,,
Scottish Parliamentary Constituency,Sex,Age band,"Life Expectancy (LE, years)",LE lower confidence interval,LE upper confidence interval,,,
Cunninghame North,female,50 to 54,33.04,32.50,33.58,,,
Cunninghame North,female,55 to 59,28.53,28.01,29.05,,,
Cunninghame North,female,60 to 64,24.17,23.68,24.67,,,
Cunninghame North,female,65 to 69,20.13,19.67,20.59,,,
Cunninghame North,female,70 to 74,16.07,15.64,16.51,,,
Cunninghame North,female,75 to 79,12.36,11.94,12.77,,,
Cunninghame North,female,80 to 84,9.26,8.87,9.66,,,
Cunninghame North,female,85 to 89,6.64,6.23,7.05,,,
Cunninghame North,female,90+,4.76,4.24,5.28,,,
Cunninghame North,male,less than 1,77.04,76.15,77.92,,,
Cunninghame North,male,1 to 4,76.22,75.36,77.07,,,
Cunninghame North,male,5 to 9,72.30,71.46,73.13,,,
Cunninghame North,male,10 to 14,67.30,66.46,68.13,,,
Cunninghame North,male,15 to 19,62.47,61.65,63.29,,,
Cunninghame North,male,20 to 24,57.58,56.77,58.38,,,
Cunninghame North,male,25 to 29,52.62,51.82,53.42,,,
Cunninghame North,male,30 to 34,47.91,47.14,48.68,,,
Cunninghame North,male,35 to 39,43.41,42.69,44.12,,,
Cunninghame North,male,40 to 44,39.05,38.41,39.69,,,
Cunninghame North,male,45 to 49,34.58,33.99,35.18,,,
Cunninghame North,male,50 to 54,30.34,29.80,30.89,,,
Cunninghame North,male,55 to 59,26.06,25.55,26.57,,,
Cunninghame North,male,60 to 64,21.70,21.21,22.19,,,
Cunninghame North,male,65 to 69,17.65,17.19,18.11,,,
Cunninghame North,male,70 to 74,14.06,13.62,14.49,,,
Cunninghame North,male,75 to 79,10.63,10.21,11.05,,,
Cunninghame North,male,80 to 84,7.90,7.48,8.31,,,
Cunninghame North,male,85 to 89,5.69,5.24,6.13,,,
Cunninghame North,male,90+,3.97,3.34,4.60,,,
Cunninghame South,female,less than 1,78.81,77.94,79.69,,,
Cunninghame South,female,1 to 4,78.29,77.50,79.09,,,
Cunninghame South,female,5 to 9,74.37,73.59,75.15,,,
Cunninghame South,female,10 to 14,69.37,68.59,70.15,,,
Cunninghame South,female,15 to 19,64.49,63.72,65.25,,,
Cunninghame South,female,20 to 24,59.78,59.05,60.50,,,
Cunninghame South,female,25 to 29,54.87,54.15,55.58,,,
Cunninghame South,female,30 to 34,49.99,49.29,50.69,,,
Cunninghame South,female,35 to 39,45.27,44.59,45.94,,,
Cunninghame South,female,40 to 44,40.49,39.84,41.15,,,
Cunninghame South,female,45 to 49,35.94,35.32,36.56,,,
Cunninghame South,female,50 to 54,31.36,30.76,31.96,,,
Cunninghame South,female,55 to 59,26.94,26.36,27.52,,,
Cunninghame South,female,60 to 64,22.60,22.04,23.15,,,
Cunninghame South,female,65 to 69,18.68,18.15,19.21,,,
Cunninghame South,female,70 to 74,14.90,14.39,15.41,,,
Cunninghame South,female,75 to 79,11.70,11.22,12.19,,,
Cunninghame South,female,80 to 84,8.62,8.14,9.11,,,
Cunninghame South,female,85 to 89,6.44,5.91,6.97,,,
Cunninghame South,female,90+,4.91,4.17,5.64,,,
Cunninghame South,male,less than 1,75.56,74.66,76.47,,,
Cunninghame South,male,1 to 4,74.70,73.82,75.59,,,
Cunninghame South,male,5 to 9,70.83,69.96,71.70,,,
Cunninghame South,male,10 to 14,65.89,65.02,66.75,,,
Cunninghame South,male,15 to 19,60.94,60.08,61.80,,,
Cunninghame South,male,20 to 24,56.04,55.19,56.89,,,
Cunninghame South,male,25 to 29,51.32,50.50,52.15,,,
Cunninghame South,male,30 to 34,46.50,45.68,47.31,,,
Cunninghame South,male,35 to 39,41.94,41.16,42.71,,,
Cunninghame South,male,40 to 44,37.68,36.96,38.39,,,
Cunninghame South,male,45 to 49,33.39,32.73,34.05,,,
Cunninghame South,male,50 to 54,29.22,28.60,29.83,,,
Cunninghame South,male,55 to 59,24.96,24.37,25.54,,,
Cunninghame South,male,60 to 64,20.84,20.28,21.40,,,
Cunninghame South,male,65 to 69,16.89,16.36,17.42,,,
Cunninghame South,male,70 to 74,13.34,12.83,13.85,,,
Cunninghame South,male,75 to 79,10.26,9.75,10.76,,,
Cunninghame South,male,80 to 84,7.58,7.06,8.10,,,
Cunninghame South,male,85 to 89,5.67,5.07,6.28,,,
Cunninghame South,male,90+,4.27,3.32,5.23,,,
Dumbarton,female,less than 1,80.61,79.85,81.36,,,
Dumbarton,female,1 to 4,79.69,78.95,80.42,,,
Dumbarton,female,5 to 9,75.69,74.95,76.42,,,
Dumbarton,female,10 to 14,70.81,70.09,71.53,,,
Dumbarton,female,15 to 19,65.81,65.09,66.53,,,
Dumbarton,female,20 to 24,60.98,60.28,61.67,,,
Dumbarton,female,25 to 29,56.08,55.40,56.76,,,
Dumbarton,female,30 to 34,51.20,50.54,51.87,,,
Dumbarton,female,35 to 39,46.49,45.85,47.13,,,
Dumbarton,female,40 to 44,41.77,41.16,42.38,,,
Dumbarton,female,45 to 49,37.30,36.73,37.86,,,
Dumbarton,female,50 to 54,32.59,32.05,33.14,,,
Dumbarton,female,55 to 59,28.04,27.51,28.57,,,
Dumbarton,female,60 to 64,23.71,23.20,24.22,,,
Dumbarton,female,65 to 69,19.54,19.06,20.02,,,
Dumbarton,female,70 to 74,15.58,15.12,16.03,,,
Dumbarton,female,75 to 79,12.02,11.59,12.45,,,
Dumbarton,female,80 to 84,8.89,8.49,9.29,,,
Dumbarton,female,85 to 89,6.16,5.76,6.57,,,
Dumbarton,female,90+,4.28,3.76,4.80,,,
Dumbarton,male,less than 1,77.05,76.25,77.84,,,
Dumbarton,male,1 to 4,76.26,75.51,77.02,,,
Dumbarton,male,5 to 9,72.26,71.51,73.02,,,
Dumbarton,male,10 to 14,67.26,66.51,68.02,,,
Dumbarton,male,15 to 19,62.32,61.57,63.07,,,
Dumbarton,male,20 to 24,57.37,56.62,58.11,,,
Dumbarton,male,25 to 29,52.67,51.95,53.39,,,
Dumbarton,male,30 to 34,47.93,47.23,48.63,,,
Dumbarton,male,35 to 39,43.19,42.51,43.87,,,
Dumbarton,male,40 to 44,38.62,37.97,39.26,,,
Dumbarton,male,45 to 49,34.06,33.44,34.67,,,
Dumbarton,male,50 to 54,29.66,29.08,30.24,,,
Dumbarton,male,55 to 59,25.46,24.90,26.02,,,
Dumbarton,male,60 to 64,21.45,20.92,21.98,,,
Dumbarton,male,65 to 69,17.45,16.95,17.96,,,
Dumbarton,male,70 to 74,13.79,13.30,14.27,,,
Dumbarton,male,75 to 79,10.66,10.19,11.14,,,
Dumbarton,male,80 to 84,7.86,7.39,8.32,,,
Dumbarton,male,85 to 89,5.78,5.28,6.28,,,
Dumbarton,male,90+,3.68,3.01,4.34,,,
Dumfriesshire,female,less than 1,81.89,81.16,82.63,,,
Dumfriesshire,female,1 to 4,81.16,80.48,81.83,,,
Dumfriesshire,female,5 to 9,77.24,76.58,77.90,,,
Dumfriesshire,female,10 to 14,72.24,71.58,72.90,,,
Dumfriesshire,female,15 to 19,67.30,66.66,67.95,,,
Dumfriesshire,female,20 to 24,62.30,61.66,62.95,,,
Dumfriesshire,female,25 to 29,57.46,56.84,58.08,,,
Dumfriesshire,female,30 to 34,52.70,52.11,53.29,,,
Dumfriesshire,female,35 to 39,47.83,47.26,48.40,,,
Dumfriesshire,female,40 to 44,43.15,42.62,43.68,,,
Dumfriesshire,female,45 to 49,38.28,37.76,38.80,,,
Dumfriesshire,female,50 to 54,33.65,33.15,34.14,,,
Dumfriesshire,female,55 to 59,28.97,28.49,29.45,,,
Dumfriesshire,female,60 to 64,24.50,24.05,24.96,,,
Dumfriesshire,female,65 to 69,20.32,19.89,20.74,,,
Dumfriesshire,female,70 to 74,16.14,15.74,16.54,,,
Dumfriesshire,female,75 to 79,12.46,12.09,12.84,,,
Dumfriesshire,female,80 to 84,9.03,8.68,9.38,,,
Dumfriesshire,female,85 to 89,6.20,5.85,6.54,,,
Dumfriesshire,female,90+,4.11,3.68,4.54,,,
Dumfriesshire,male,less than 1,78.08,77.19,78.96,,,
Dumfriesshire,male,1 to 4,77.56,76.76,78.37,,,
Dumfriesshire,male,5 to 9,73.64,72.85,74.43,,,
Dumfriesshire,male,10 to 14,68.70,67.92,69.48,,,
Dumfriesshire,male,15 to 19,63.75,62.98,64.53,,,
Dumfriesshire,male,20 to 24,58.91,58.15,59.66,,,
Dumfriesshire,male,25 to 29,54.14,53.41,54.87,,,
Dumfriesshire,male,30 to 34,49.37,48.67,50.08,,,
Dumfriesshire,male,35 to 39,44.63,43.95,45.31,,,
Dumfriesshire,male,40 to 44,40.28,39.67,40.89,,,
Dumfriesshire,male,45 to 49,36.04,35.51,36.58,,,
Dumfriesshire,male,50 to 54,31.52,31.01,32.02,,,
Dumfriesshire,male,55 to 59,26.98,26.50,27.46,,,
Dumfriesshire,male,60 to 64,22.74,22.29,23.20,,,
Dumfriesshire,male,65 to 69,18.62,18.19,19.04,,,
Dumfriesshire,male,70 to 74,14.70,14.30,15.10,,,
Dumfriesshire,male,75 to 79,11.21,10.84,11.58,,,
Dumfriesshire,male,80 to 84,7.91,7.55,8.26,,,
Dumfriesshire,male,85 to 89,5.49,5.12,5.86,,,
Dumfriesshire,male,90+,3.49,2.98,4.00,,,
Dundee City East,female,less than 1,80.33,79.52,81.14,,,
Dundee City East,female,1 to 4,79.79,79.06,80.52,,,
Dundee City East,female,5 to 9,75.86,75.14,76.58,,,
Dundee City East,female,10 to 14,70.86,70.14,71.58,,,
Dundee City East,female,15 to 19,65.86,65.14,66.58,,,
Dundee City East,female,20 to 24,60.92,60.21,61.63,,,
Dundee City East,female,25 to 29,55.92,55.21,56.63,,,
Dundee City East,female,30 to 34,51.09,50.39,51.78,,,
Dundee City East,female,35 to 39,46.21,45.52,46.90,,,
Dundee City East,female,40 to 44,41.48,40.81,42.15,,,
Dundee City East,female,45 to 49,36.81,36.16,37.45,,,
Dundee City East,female,50 to 54,32.36,31.75,32.97,,,
Dundee City East,female,55 to 59,27.98,27.39,28.56,,,
Dundee City East,female,60 to 64,23.66,23.09,24.22,,,
Dundee City East,female,65 to 69,19.67,19.15,20.20,,,
Dundee City East,female,70 to 74,16.13,15.64,16.61,,,
Dundee City East,female,75 to 79,12.51,12.06,12.97,,,
Dundee City East,female,80 to 84,9.56,9.14,9.99,,,
Dundee City East,female,85 to 89,6.75,6.31,7.18,,,
Dundee City East,female,90+,4.74,4.19,5.29,,,
Dundee City East,male,less than 1,74.24,73.33,75.14,,,
Dundee City East,male,1 to 4,73.43,72.55,74.31,,,
Dundee City East,male,5 to 9,69.49,68.61,70.36,,,
Dundee City East,male,10 to 14,64.49,63.61,65.36,,,
Dundee City East,male,15 to 19,59.49,58.61,60.36,,,
Dundee City East,male,20 to 24,54.54,53.68,55.41,,,
Dundee City East,male,25 to 29,49.70,48.84,50.56,,,
Dundee City East,male,30 to 34,45.06,44.22,45.91,,,
Dundee City East,male,35 to 39,40.71,39.90,41.53,,,
Dundee City East,male,40 to 44,36.64,35.88,37.40,,,
Dundee City East,male,45 to 49,32.84,32.15,33.52,,,
Dundee City East,male,50 to 54,28.87,28.23,29.51,,,
Dundee City East,male,55 to 59,24.91,24.31,25.51,,,
Dundee City East,male,60 to 64,21.05,20.48,21.62,,,
Dundee City East,male,65 to 69,17.48,16.96,18.01,,,
Dundee City East,male,70 to 74,14.09,13.60,14.58,,,
Dundee City East,male,75 to 79,10.79,10.32,11.25,,,
Dundee City East,male,80 to 84,8.09,7.65,8.53,,,
Dundee City East,male,85 to 89,5.68,5.24,6.13,,,
Dundee City East,male,90+,3.74,3.14,4.35,,,
Dundee City West,female,less than 1,78.12,77.24,79.00,,,
Dundee City West,female,1 to 4,77.74,76.94,78.53,,,
Dundee City West,female,5 to 9,73.93,73.17,74.69,,,
Dundee City West,female,10 to 14,68.93,68.17,69.69,,,
Dundee City West,female,15 to 19,64.00,63.25,64.75,,,
Dundee City West,female,20 to 24,59.00,58.25,59.75,,,
Dundee City West,female,25 to 29,54.04,53.29,54.79,,,
Dundee City West,female,30 to 34,49.15,48.41,49.89,,,
Dundee City West,female,35 to 39,44.57,43.85,45.29,,,
Dundee City West,female,40 to 44,40.16,39.48,40.83,,,
Dundee City West,female,45 to 49,35.63,34.99,36.27,,,
Dundee City West,female,50 to 54,31.04,30.43,31.65,,,
Dundee City West,female,55 to 59,26.88,26.30,27.46,,,
Dundee City West,female,60 to 64,22.75,22.20,23.30,,,
Dundee City West,female,65 to 69,18.77,18.26,19.29,,,
Dundee City West,female,70 to 74,15.16,14.69,15.63,,,
Dundee City West,female,75 to 79,11.55,11.11,11.98,,,
Dundee City West,female,80 to 84,8.64,8.24,9.03,,,
Dundee City West,female,85 to 89,6.28,5.88,6.67,,,
Dundee City West,female,90+,4.31,3.80,4.82,,,
Dundee City West,male,less than 1,73.66,72.73,74.60,,,
Dundee City West,male,1 to 4,73.65,72.84,74.46,,,
Dundee City West,male,5 to 9,69.71,68.91,70.51,,,
Dundee City West,male,10 to 14,64.71,63.91,65.51,,,
Dundee City West,male,15 to 19,59.71,58.91,60.51,,,
Dundee City West,male,20 to 24,54.75,53.95,55.55,,,
Dundee City West,male,25 to 29,49.91,49.11,50.70,,,
Dundee City West,male,30 to 34,45.17,44.38,45.96,,,
Dundee City West,male,35 to 39,40.66,39.90,41.43,,,
Dundee City West,male,40 to 44,36.32,35.59,37.04,,,
Dundee City West,male,45 to 49,32.38,31.72,33.03,,,
Dundee City West,male,50 to 54,28.31,27.70,28.92,,,
Dundee City West,male,55 to 59,24.18,23.61,24.76,,,
Dundee City West,male,60 to 64,20.11,19.56,20.65,,,
Dundee City West,male,65 to 69,16.33,15.82,16.84,,,
Dundee City West,male,70 to 74,12.87,12.39,13.34,,,
Dundee City West,male,75 to 79,10.06,9.62,10.50,,,
Dundee City West,male,80 to 84,7.26,6.86,7.67,,,
Dundee City West,male,85 to 89,5.26,4.84,5.68,,,
Dundee City West,male,90+,3.57,2.98,4.16,,,
Dunfermline,female,less than 1,82.11,81.33,82.89,,,
Dunfermline,female,1 to 4,81.45,80.73,82.18,,,
Dunfermline,female,5 to 9,77.45,76.73,78.18,,,
Dunfermline,female,10 to 14,72.45,71.73,73.18,,,
Dunfermline,female,15 to 19,67.51,66.79,68.23,,,
Dunfermline,female,20 to 24,62.57,61.85,63.28,,,
Dunfermline,female,25 to 29,57.62,56.91,58.32,,,
Dunfermline,female,30 to 34,52.86,52.18,53.54,,,
Dunfermline,female,35 to 39,47.99,47.32,48.66,,,
Dunfermline,female,40 to 44,43.22,42.56,43.87,,,
Dunfermline,female,45 to 49,38.42,37.78,39.07,,,
Dunfermline,female,50 to 54,33.74,33.11,34.37,,,
Dunfermline,female,55 to 59,29.23,28.62,29.85,,,
Dunfermline,female,60 to 64,24.92,24.32,25.51,,,
Dunfermline,female,65 to 69,20.66,20.09,21.23,,,
Dunfermline,female,70 to 74,16.74,16.18,17.29,,,
Dunfermline,female,75 to 79,12.96,12.41,13.50,,,
Dunfermline,female,80 to 84,9.88,9.33,10.42,,,
Dunfermline,female,85 to 89,7.27,6.69,7.85,,,
Dunfermline,female,90+,5.41,4.66,6.16,,,
Dunfermline,male,less than 1,78.26,77.46,79.07,,,
Dunfermline,male,1 to 4,77.57,76.81,78.34,,,
Dunfermline,male,5 to 9,73.63,72.87,74.39,,,
Dunfermline,male,10 to 14,68.63,67.87,69.39,,,
Dunfermline,male,15 to 19,63.63,62.87,64.39,,,
Dunfermline,male,20 to 24,58.83,58.10,59.56,,,
Dunfermline,male,25 to 29,53.98,53.27,54.70,,,
Dunfermline,male,30 to 34,49.26,48.57,49.95,,,
Dunfermline,male,35 to 39,44.60,43.93,45.26,,,
Dunfermline,male,40 to 44,39.97,39.33,40.60,,,
Dunfermline,male,45 to 49,35.31,34.70,35.93,,,
Dunfermline,male,50 to 54,30.80,30.20,31.39,,,
Dunfermline,male,55 to 59,26.38,25.80,26.95,,,
Dunfermline,male,60 to 64,22.07,21.52,22.63,,,
Dunfermline,male,65 to 69,18.12,17.59,18.64,,,
Dunfermline,male,70 to 74,14.39,13.89,14.90,,,
Dunfermline,male,75 to 79,11.04,10.54,11.54,,,
Dunfermline,male,80 to 84,8.12,7.63,8.61,,,
Dunfermline,male,85 to 89,5.75,5.21,6.29,,,
Dunfermline,male,90+,3.91,3.15,4.67,,,
East Kilbride,female,less than 1,81.55,80.84,82.26,,,
East Kilbride,female,1 to 4,80.77,80.10,81.44,,,
East Kilbride,female,5 to 9,76.91,76.27,77.55,,,
East Kilbride,female,10 to 14,71.91,71.27,72.55,,,
East Kilbride,female,15 to 19,66.91,66.27,67.55,,,
East Kilbride,female,20 to 24,61.96,61.33,62.60,,,
East Kilbride,female,25 to 29,56.96,56.33,57.60,,,
East Kilbride,female,30 to 34,52.12,51.50,52.74,,,
East Kilbride,female,35 to 39,47.37,46.78,47.96,,,
East Kilbride,female,40 to 44,42.53,41.95,43.11,,,
East Kilbride,female,45 to 49,37.80,37.25,38.35,,,
East Kilbride,female,50 to 54,33.24,32.71,33.77,,,
East Kilbride,female,55 to 59,28.56,28.05,29.08,,,
East Kilbride,female,60 to 64,24.07,23.58,24.57,,,
East Kilbride,female,65 to 69,19.73,19.25,20.20,,,
East Kilbride,female,70 to 74,15.73,15.29,16.18,,,
East Kilbride,female,75 to 79,12.05,11.64,12.46,,,
East Kilbride,female,80 to 84,8.99,8.62,9.37,,,
East Kilbride,female,85 to 89,6.33,5.95,6.71,,,
East Kilbride,female,90+,4.53,4.03,5.02,,,
East Kilbride,male,less than 1,77.36,76.63,78.09,,,
East Kilbride,male,1 to 4,76.49,75.79,77.20,,,
East Kilbride,male,5 to 9,72.49,71.79,73.20,,,
East Kilbride,male,10 to 14,67.49,66.79,68.20,,,
East Kilbride,male,15 to 19,62.54,61.84,63.24,,,
East Kilbride,male,20 to 24,57.59,56.90,58.29,,,
East Kilbride,male,25 to 29,52.77,52.10,53.45,,,
East Kilbride,male,30 to 34,47.85,47.18,48.52,,,
East Kilbride,male,35 to 39,43.24,42.60,43.87,,,
East Kilbride,male,40 to 44,38.71,38.11,39.30,,,
East Kilbride,male,45 to 49,34.11,33.55,34.68,,,
East Kilbride,male,50 to 54,29.60,29.05,30.14,,,
East Kilbride,male,55 to 59,25.25,24.72,25.77,,,
East Kilbride,male,60 to 64,20.95,20.44,21.45,,,
East Kilbride,male,65 to 69,17.09,16.61,17.56,,,
East Kilbride,male,70 to 74,13.25,12.81,13.70,,,
East Kilbride,male,75 to 79,9.86,9.44,10.28,,,
East Kilbride,male,80 to 84,7.26,6.86,7.66,,,
East Kilbride,male,85 to 89,5.18,4.76,5.61,,,
East Kilbride,male,90+,3.99,3.32,4.66,,,
East Lothian,female,less than 1,82.55,81.88,83.23,,,
East Lothian,female,1 to 4,81.71,81.07,82.35,,,
East Lothian,female,5 to 9,77.71,77.07,78.35,,,
East Lothian,female,10 to 14,72.71,72.07,73.35,,,
East Lothian,female,15 to 19,67.76,67.12,68.39,,,
East Lothian,female,20 to 24,62.76,62.12,63.39,,,
East Lothian,female,25 to 29,57.92,57.32,58.53,,,
East Lothian,female,30 to 34,53.06,52.48,53.65,,,
East Lothian,female,35 to 39,48.15,47.57,48.72,,,
East Lothian,female,40 to 44,43.40,42.84,43.95,,,
East Lothian,female,45 to 49,38.63,38.10,39.17,,,
East Lothian,female,50 to 54,33.89,33.37,34.41,,,
East Lothian,female,55 to 59,29.32,28.82,29.82,,,
East Lothian,female,60 to 64,24.71,24.22,25.19,,,
East Lothian,female,65 to 69,20.37,19.91,20.83,,,
East Lothian,female,70 to 74,16.46,16.03,16.89,,,
East Lothian,female,75 to 79,12.70,12.29,13.10,,,
East Lothian,female,80 to 84,9.26,8.88,9.64,,,
East Lothian,female,85 to 89,6.41,6.03,6.79,,,
East Lothian,female,90+,4.08,3.63,4.54,,,
East Lothian,male,less than 1,78.81,78.00,79.62,,,
East Lothian,male,1 to 4,78.15,77.39,78.90,,,
East Lothian,male,5 to 9,74.15,73.39,74.90,,,
East Lothian,male,10 to 14,69.24,68.49,69.99,,,
East Lothian,male,15 to 19,64.29,63.54,65.03,,,
East Lothian,male,20 to 24,59.39,58.66,60.12,,,
East Lothian,male,25 to 29,54.62,53.92,55.33,,,
East Lothian,male,30 to 34,49.77,49.08,50.46,,,
East Lothian,male,35 to 39,45.30,44.68,45.93,,,
East Lothian,male,40 to 44,40.72,40.14,41.31,,,
East Lothian,male,45 to 49,36.11,35.55,36.67,,,
East Lothian,male,50 to 54,31.50,30.96,32.03,,,
East Lothian,male,55 to 59,27.07,26.55,27.58,,,
East Lothian,male,60 to 64,22.67,22.17,23.16,,,
East Lothian,male,65 to 69,18.46,17.99,18.93,,,
East Lothian,male,70 to 74,14.62,14.18,15.06,,,
East Lothian,male,75 to 79,11.05,10.63,11.48,,,
East Lothian,male,80 to 84,8.05,7.65,8.46,,,
East Lothian,male,85 to 89,5.55,5.13,5.97,,,
East Lothian,male,90+,3.79,3.22,4.36,,,
Eastwood,female,less than 1,84.29,83.55,85.02,,,
Eastwood,female,1 to 4,83.46,82.77,84.16,,,
Eastwood,female,5 to 9,79.46,78.77,80.16,,,
Eastwood,female,10 to 14,74.46,73.77,75.16,,,
Eastwood,female,15 to 19,69.46,68.77,70.16,,,
Eastwood,female,20 to 24,64.63,63.95,65.30,,,
Eastwood,female,25 to 29,59.81,59.17,60.45,,,
Eastwood,female,30 to 34,54.81,54.17,55.45,,,
Eastwood,female,35 to 39,49.98,49.37,50.59,,,
Eastwood,female,40 to 44,45.09,44.48,45.69,,,
Eastwood,female,45 to 49,40.26,39.67,40.85,,,
Eastwood,female,50 to 54,35.56,34.98,36.13,,,
Eastwood,female,55 to 59,30.81,30.25,31.37,,,
Eastwood,female,60 to 64,26.28,25.74,26.82,,,
Eastwood,female,65 to 69,21.88,21.37,22.39,,,
Eastwood,female,70 to 74,17.47,16.98,17.96,,,
Eastwood,female,75 to 79,13.56,13.09,14.02,,,
Eastwood,female,80 to 84,10.22,9.79,10.65,,,
Eastwood,female,85 to 89,7.10,6.67,7.54,,,
Eastwood,female,90+,4.96,4.42,5.50,,,
Eastwood,male,less than 1,82.15,81.40,82.90,,,
Eastwood,male,1 to 4,81.23,80.50,81.97,,,
Eastwood,male,5 to 9,77.23,76.50,77.97,,,
Eastwood,male,10 to 14,72.28,71.55,73.01,,,
Eastwood,male,15 to 19,67.33,66.60,68.05,,,
Eastwood,male,20 to 24,62.33,61.60,63.05,,,
Eastwood,male,25 to 29,57.47,56.77,58.18,,,
Eastwood,male,30 to 34,52.65,51.98,53.33,,,
Eastwood,male,35 to 39,47.72,47.05,48.38,,,
Eastwood,male,40 to 44,42.84,42.19,43.50,,,
Eastwood,male,45 to 49,38.06,37.42,38.70,,,
Eastwood,male,50 to 54,33.40,32.78,34.02,,,
Eastwood,male,55 to 59,28.88,28.28,29.48,,,
Eastwood,male,60 to 64,24.33,23.75,24.91,,,
Eastwood,male,65 to 69,20.04,19.49,20.59,,,
Eastwood,male,70 to 74,15.86,15.33,16.39,,,
Eastwood,male,75 to 79,12.02,11.51,12.52,,,
Eastwood,male,80 to 84,8.78,8.30,9.27,,,
Eastwood,male,85 to 89,6.27,5.74,6.79,,,
Eastwood,male,90+,4.51,3.80,5.23,,,
Edinburgh Central,female,less than 1,83.34,82.43,84.26,,,
Edinburgh Central,female,1 to 4,82.72,81.87,83.56,,,
Edinburgh Central,female,5 to 9,78.72,77.87,79.56,,,
Edinburgh Central,female,10 to 14,73.72,72.87,74.56,,,
Edinburgh Central,female,15 to 19,68.93,68.14,69.72,,,
Edinburgh Central,female,20 to 24,63.93,63.14,64.72,,,
Edinburgh Central,female,25 to 29,58.99,58.19,59.78,,,
Edinburgh Central,female,30 to 34,54.02,53.23,54.82,,,
Edinburgh Central,female,35 to 39,49.10,48.31,49.88,,,
Edinburgh Central,female,40 to 44,44.25,43.46,45.03,,,
Edinburgh Central,female,45 to 49,39.53,38.76,40.29,,,
Edinburgh Central,female,50 to 54,34.89,34.14,35.64,,,
Edinburgh Central,female,55 to 59,30.54,29.82,31.26,,,
Edinburgh Central,female,60 to 64,26.31,25.62,27.00,,,
Edinburgh Central,female,65 to 69,22.02,21.36,22.68,,,
Edinburgh Central,female,70 to 74,18.02,17.40,18.65,,,
Edinburgh Central,female,75 to 79,13.94,13.34,14.54,,,
Edinburgh Central,female,80 to 84,10.48,9.92,11.04,,,
Edinburgh Central,female,85 to 89,7.34,6.78,7.89,,,
Edinburgh Central,female,90+,4.91,4.24,5.58,,,
Edinburgh Central,male,less than 1,78.48,77.58,79.38,,,
Edinburgh Central,male,1 to 4,77.56,76.67,78.45,,,
Edinburgh Central,male,5 to 9,73.56,72.67,74.45,,,
Edinburgh Central,male,10 to 14,68.56,67.67,69.45,,,
Edinburgh Central,male,15 to 19,63.75,62.90,64.60,,,
Edinburgh Central,male,20 to 24,58.87,58.03,59.71,,,
Edinburgh Central,male,25 to 29,54.00,53.17,54.84,,,
Edinburgh Central,male,30 to 34,49.11,48.27,49.95,,,
Edinburgh Central,male,35 to 39,44.26,43.43,45.10,,,
Edinburgh Central,male,40 to 44,39.55,38.72,40.38,,,
Edinburgh Central,male,45 to 49,35.21,34.40,36.02,,,
Edinburgh Central,male,50 to 54,30.91,30.12,31.70,,,
Edinburgh Central,male,55 to 59,26.67,25.90,27.44,,,
Edinburgh Central,male,60 to 64,22.74,21.98,23.49,,,
Edinburgh Central,male,65 to 69,18.96,18.23,19.70,,,
Edinburgh Central,male,70 to 74,15.32,14.59,16.05,,,
Edinburgh Central,male,75 to 79,11.89,11.16,12.61,,,
Edinburgh Central,male,80 to 84,9.41,8.69,10.14,,,
Edinburgh Central,male,85 to 89,7.19,6.38,8.00,,,
Edinburgh Central,male,90+,5.38,4.28,6.49,,,
Edinburgh Eastern,female,less than 1,79.98,79.27,80.68,,,
Edinburgh Eastern,female,1 to 4,79.41,78.76,80.06,,,
Edinburgh Eastern,female,5 to 9,75.51,74.88,76.14,,,
Edinburgh Eastern,female,10 to 14,70.51,69.88,71.14,,,
Edinburgh Eastern,female,15 to 19,65.51,64.88,66.14,,,
Edinburgh Eastern,female,20 to 24,60.57,59.95,61.19,,,
Edinburgh Eastern,female,25 to 29,55.57,54.95,56.19,,,
Edinburgh Eastern,female,30 to 34,50.64,50.02,51.25,,,
Edinburgh Eastern,female,35 to 39,45.72,45.11,46.33,,,
Edinburgh Eastern,female,40 to 44,40.92,40.32,41.52,,,
Edinburgh Eastern,female,45 to 49,36.39,35.82,36.97,,,
Edinburgh Eastern,female,50 to 54,31.86,31.31,32.41,,,
Edinburgh Eastern,female,55 to 59,27.43,26.90,27.96,,,
Edinburgh Eastern,female,60 to 64,23.03,22.52,23.54,,,
Edinburgh Eastern,female,65 to 69,18.98,18.50,19.46,,,
Edinburgh Eastern,female,70 to 74,15.11,14.66,15.56,,,
Edinburgh Eastern,female,75 to 79,11.83,11.41,12.24,,,
Edinburgh Eastern,female,80 to 84,8.98,8.60,9.37,,,
Edinburgh Eastern,female,85 to 89,6.46,6.08,6.84,,,
Edinburgh Eastern,female,90+,4.49,4.01,4.97,,,
Edinburgh Eastern,male,less than 1,75.14,74.33,75.96,,,
Edinburgh Eastern,male,1 to 4,74.76,74.01,75.52,,,
Edinburgh Eastern,male,5 to 9,70.86,70.12,71.60,,,
Edinburgh Eastern,male,10 to 14,65.86,65.12,66.60,,,
Edinburgh Eastern,male,15 to 19,61.11,60.40,61.82,,,
Edinburgh Eastern,male,20 to 24,56.35,55.67,57.03,,,
Edinburgh Eastern,male,25 to 29,51.39,50.72,52.07,,,
Edinburgh Eastern,male,30 to 34,46.65,45.99,47.31,,,
