"Table 2: Healthy Life Expectancy (HLE1) estimates by council area in Scotland, 2019-2021",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Council Area,Area Code,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%),,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Male,30 to 34,46.93,46.60,47.27,32.50,30.62,34.38,69.25,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Male,35 to 39,42.41,42.09,42.72,28.51,26.70,30.31,67.23,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Male,40 to 44,37.87,37.57,38.17,24.65,22.93,26.37,65.09,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Male,45 to 49,33.50,33.22,33.78,21.05,19.41,22.68,62.82,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Male,50 to 54,29.10,28.84,29.37,17.58,16.04,19.12,60.40,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Male,55 to 59,24.88,24.63,25.13,14.39,12.91,15.87,57.84,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Male,60 to 64,20.70,20.46,20.94,11.41,10.01,12.82,55.13,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Male,65 to 69,16.86,16.63,17.08,8.82,7.51,10.13,52.32,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Male,70 to 74,13.36,13.15,13.56,6.58,5.37,7.79,49.25,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Male,75 to 79,10.08,9.88,10.28,4.63,3.43,5.83,45.92,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Male,80 to 84,7.34,7.15,7.53,3.10,1.91,4.29,42.24,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Male,85 to 89,5.19,4.99,5.38,1.98,1.01,2.95,38.22,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Male,90+,3.43,3.16,3.70,1.14,0.33,1.96,33.26,,,,,,,,,,,,,,,,
Stirling,S12000030,Female,<1,81.59,80.87,82.31,65.03,62.27,67.79,79.70,,,,,,,,,,,,,,,,
Stirling,S12000030,Female,1 to 4,80.90,80.25,81.56,64.34,61.57,67.10,79.52,,,,,,,,,,,,,,,,
Stirling,S12000030,Female,5 to 9,77.03,76.40,77.66,60.75,58.04,63.46,78.87,,,,,,,,,,,,,,,,
Stirling,S12000030,Female,10 to 14,72.03,71.40,72.66,56.14,53.53,58.75,77.94,,,,,,,,,,,,,,,,
Stirling,S12000030,Female,15 to 19,67.03,66.40,67.66,51.58,49.09,54.08,76.95,,,,,,,,,,,,,,,,
